concept_id,concept_text
722482005,ABVD chemotherapy regimen
363688001,Administration of antineoplastic agent
1255834000,Administration of antineoplastic chemotherapy into peritoneal cavity
830155008,Administration of hyperthermic antineoplastic agent into peritoneal cavity
830156009,Administration of hyperthermic antineoplastic agent into thoracic cavity
268500004,Administration of prophylactic chemotherapy
169394006,Afterload radiotherapy of oropharyngeal cavity
174802006,Allotransplant of heart and lung
820361000000105,Allotransplantation of lobe of lung from live donor
315601005,Ambulatory chemotherapy
261483009,Anastomosis of both main bronchi to end of trachea
50078002,"Anastomosis of common pulmonary trunk and left atrium, posterior wall"
261486001,Anastomosis of left main bronchus to end of trachea
261487005,Anastomosis of left main bronchus to right bronchus intermedius
261488000,Anastomosis of left main bronchus to side of trachea
441959001,Anastomosis of pulmonary artery to subclavian artery
13662000,Anastomosis of pulmonary-subclavian artery by Blalock-Taussig operation
261490004,Anastomosis of right main bronchus to end of trachea
261491000,Anastomosis of right main bronchus to side of trachea
442278005,Anastomosis of superior vena cava to pulmonary artery
449113004,Anastomosis of superior vena cava to pulmonary artery and reconstruction of right ventricular outlfow tract
175249005,Anastomosis of vena cava to pulmonary artery
52340003,Angiography of bilateral pulmonary arteries
765041007,Angiography of left pulmonary artery
84200003,Angiography of pulmonary arteries
765042000,Angiography of right pulmonary artery
233214006,Angioplasty of pulmonary artery
897713009,Antineoplastic chemoimmunotherapy
716872004,Antineoplastic chemotherapy regimen
233601000000100,Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit and aortoventriculoplasty
429616001,Aortopulmonary reconstruction with right ventricle to pulmonary arterial valveless conduit
378121000000101,Aortopulmonary reconstruction with systemic to pulmonary arterial shunt
428411007,Aortopulmonary reconstruction with systemic-to-pulmonary arterial shunt
46412002,Apicectomy lung
173191000,Aspiration biopsy of lesion of lung
397396006,Aspiration of bronchus with lavage
232655007,Aspiration of lung lesion
62511003,Autotransplant of lung
233116000,Banding of major aortopulmonary collateral artery
15648005,Banding of pulmonary artery
169328001,Beta source contact therapy
169310003,Betatron electron therapy
33356009,Betatron external beam radiation therapy
169303009,Betatron photon therapy
228662001,Betatron X-ray therapy
443989003,Bidirectional Glenn shunt procedure of left superior vena cava
444034006,Bidirectional Glenn shunt procedure of right superior vena cava
448797001,Bidirectional superior cavopulmonary anastomosis
449549007,Bilateral bidirectional superior cavopulmonary anastomoses
27498003,Bilateral bronchography
232660006,Bilateral sequential single lung transplant
173170008,Bilobectomy of lung
312849006,Biopsy of bronchus
450348001,Biopsy of lesion of lung
78603008,Biopsy of lung
782762003,Blind bronchoalveolar lavage
169343004,Bone marrow suppression - irradiation
