,concept_code_y,concept_name_y,icd
8,48.76,Other proctopexy,48.76
96,92.24,Teleradiotherapy using photons,92.24
136,92.2,Therapeutic radiology and nuclear medicine,92.2
318,48.75,Abdominal proctopexy,48.75
331,92.26,Teleradiotherapy of other particulate radiation,92.26
332,92.33,Particulate radiosurgery,92.33
548,92.3,Stereotactic radiosurgery,92.3
549,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
550,92.32,Multi-source photon radiosurgery,92.32
552,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
969,48.23,Rigid proctosigmoidoscopy,48.23
1046,17.36,Laparoscopic sigmoidectomy,17.36
2412,92.4,Intra-operative radiation procedures,92.4
2413,92.41,Intra-operative electron radiation therapy,92.41
4638,48.72,Closure of proctostomy,48.72
4697,48.74,Rectorectostomy,48.74
4808,48.73,Closure of other rectal fistula,48.73
5294,48.31,Radical electrocoagulation of rectal lesion or tissue,48.31
5295,48.32,Other electrocoagulation of rectal lesion or tissue,48.32
6056,45.8,Total intra-abdominal colectomy,45.8
6057,45.81,Laparoscopic total intra-abdominal colectomy,45.81
6058,45.82,Open total intra-abdominal colectomy,45.82
6059,45.83,Other and unspecified total intra-abdominal colectomy,45.83
6138,48.5,Abdominoperineal resection of rectum,48.5
6139,48.50,"Abdominoperineal resection of the rectum, not otherwise specified",48.50
6140,48.51,Laparoscopic abdominoperineal resection of the rectum,48.51
6141,48.52,Open abdominoperineal resection of the rectum,48.52
6142,48.59,Other abdominoperineal resection of the rectum,48.59
6336,45.74,Open and other resection of transverse colon,45.74
6688,48.36,[Endoscopic] polypectomy of rectum,48.36
6733,48.24,Closed [endoscopic] biopsy of rectum,48.24
6842,48.7,Repair of rectum,48.7
6845,48.79,Other repair of rectum,48.79
6871,96.37,Proctoclysis,96.37
7315,17.32,Laparoscopic cecectomy,17.32
7316,45.72,Open and other cecectomy,45.72
7363,17.34,Laparoscopic resection of transverse colon,17.34
7503,48.34,Destruction of rectal lesion or tissue by cryosurgery,48.34
8505,48.0,Proctotomy,48.0
8549,45.73,Open and other right hemicolectomy,45.73
8842,00.10,Implantation of chemotherapeutic agent,00.10
8843,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
9059,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
9116,92.20,Infusion of liquid brachytherapy radioisotope,92.20
9754,70.52,Repair of rectocele,70.52
9755,70.55,Repair of rectocele with graft or prosthesis,70.55
9851,92.23,Radioisotopic teleradiotherapy,92.23
9852,92.28,Injection or instillation of radioisotopes,92.28
9935,89.34,Digital examination of rectum,89.34
10796,96.26,Manual reduction of rectal prolapse,96.26
10881,45.24,Flexible sigmoidoscopy,45.24
11093,92.31,Single source photon radiosurgery,92.31
11347,48.71,Suture of laceration of rectum,48.71
11442,49.94,Reduction of anal prolapse,49.94
11483,48.64,Posterior resection of rectum,48.64
11491,48.63,Other anterior resection of rectum,48.63
11524,92.25,Teleradiotherapy using electrons,92.25
11608,48.91,Incision of rectal stricture,48.91
11680,17.33,Laparoscopic right hemicolectomy,17.33
11764,92.22,Orthovoltage radiation,92.22
11780,48.25,Open biopsy of rectum,48.25
11826,96.22,Dilation of rectum,96.22
11978,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
12699,46.92,Myotomy of other parts of colon,46.92
12713,45.23,Colonoscopy,45.23
13047,92.21,Superficial radiation,92.21
13201,46.76,Closure of fistula of large intestine,46.76
13262,48.33,Destruction of rectal lesion or tissue by laser,48.33
13301,45.75,Open and other left hemicolectomy,45.75
13338,17.35,Laparoscopic left hemicolectomy,17.35
13703,45.76,Open and other sigmoidectomy,45.76
13758,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
13792,46.03,Exteriorization of large intestine,46.03
13893,48.35,Local excision of rectal lesion or tissue,48.35
13894,48.6,Other resection of rectum,48.6
13895,48.69,Other resection of rectum,48.69
13982,99.93,Rectal massage (for levator spasm),99.93
14020,48.62,Anterior resection of rectum with synchronous colostomy,48.62
