,concept_code_y,concept_name_y,icd
47,14.53,Repair of retinal detachment with xenon arc photocoagulation,14.53
115,44.14,Closed [endoscopic] biopsy of stomach,44.14
592,36.14,(Aorto)coronary bypass of four or more coronary arteries,36.14
610,89.55,Phonocardiogram with ECG lead,89.55
635,48.76,Other proctopexy,48.76
688,34.83,Closure of fistula of diaphragm,34.83
1271,22.6,Other nasal sinusectomy,22.6
1272,22.60,"Sinusectomy, not otherwise specified",22.60
1273,22.62,Excision of lesion of maxillary sinus with other approach,22.62
1521,45.33,"Local excision of lesion or tissue of small intestine, except duodenum",45.33
1522,45.6,Other excision of small intestine,45.6
1734,55.32,Open ablation of renal lesion or tissue,55.32
1735,55.33,Percutaneous ablation of renal lesion or tissue,55.33
1736,55.35,Other and unspecified ablation of renal lesion or tissue,55.35
1863,12.87,Scleral reinforcement with graft,12.87
2149,18.3,Other excision of external ear,18.3
2150,18.39,Other excision of external ear,18.39
2197,34.81,Excision of lesion or tissue of diaphragm,34.81
2298,33.23,Other bronchoscopy,33.23
2386,66.32,Other bilateral ligation and division of fallopian tubes,66.32
2397,67.11,Endocervical biopsy,67.11
2409,51.32,Anastomosis of gallbladder to intestine,51.32
2468,94.26,Subconvulsive electroshock therapy,94.26
2480,00.66,Percutaneous transluminal coronary angioplasty [PTCA],00.66
2515,42.62,Antesternal esophagogastrostomy,42.62
2875,35.71,Other and unspecified repair of atrial septal defect,35.71
2915,35.01,"Closed heart valvotomy, aortic valve",35.01
2968,27.61,Suture of laceration of palate,27.61
3014,29.53,Closure of other fistula of pharynx,29.53
3071,45.94,Large-to-large intestinal anastomosis,45.94
3088,46.75,Suture of laceration of large intestine,46.75
3128,48.75,Abdominal proctopexy,48.75
3170,07.51,Exploration of pineal field,07.51
3193,57.6,Partial cystectomy,57.6
3281,69.4,Uterine repair,69.4
3282,69.49,Other repair of uterus,69.49
3283,75.5,Repair of current obstetric laceration of uterus,75.5
3427,73.51,Manual rotation of fetal head,73.51
3453,02.31,Ventricular shunt to structure in head and neck,02.31
3466,08.01,Incision of lid margin,08.01
3515,10.42,Reconstruction of conjunctival cul-de-sac with free graft,10.42
3527,08.92,Cryosurgical epilation of eyelid,08.92
3566,14.34,Repair of retinal tear by laser photocoagulation,14.34
3706,87.76,Retrograde cystourethrogram,87.76
3744,57.93,Control of (postoperative) hemorrhage of bladder,57.93
3792,24.91,Extension or deepening of buccolabial or lingual sulcus,24.91
3939,69.0,Dilation and curettage of uterus,69.0
