,concept_code_y,concept_name_y,opcs
52,C71.8,Other specified extracapsular extraction of lens,C718
53,C71.9,Unspecified extracapsular extraction of lens,C719
54,C71,Extracapsular extraction of lens,C71
79,C72.8,Other specified intracapsular extraction of lens,C728
80,C72.9,Unspecified intracapsular extraction of lens,C729
81,C72,Intracapsular extraction of lens,C72
95,C72.1,Forceps extraction of lens,C721
109,C72.3,Cryoextraction of lens,C723
120,C73.2,Capsulotomy of anterior lens capsule,C732
130,C73.3,Capsulotomy of posterior lens capsule,C733
153,C74.3,Mechanical lensectomy,C743
166,C75.2,Revision of prosthetic replacement for lens,C752
176,C77.3,Biopsy of lesion of lens,C773
325,C71.1,Simple linear extraction of lens,C711
441,C72.2,Suction extraction of lens,C722
696,C73.1,Membranectomy of lens,C731
697,C77.1,Capsulectomy,C771
718,C71.3,Aspiration of lens,C713
780,C73,Incision of capsule of lens,C73
811,C74.8,Other specified other extraction of lens,C748
812,C74.9,Unspecified other extraction of lens,C749
813,C74,Other extraction of lens,C74
891,C73.4,Capsulotomy of lens NEC,C734
892,C73.8,Other specified incision of capsule of lens,C738
893,C73.9,Unspecified incision of capsule of lens,C739
