,concept_code_y,concept_name_y,icd
97,44.14,Closed [endoscopic] biopsy of stomach,44.14
484,48.76,Other proctopexy,48.76
537,34.83,Closure of fistula of diaphragm,34.83
2339,22.6,Other nasal sinusectomy,22.6
2340,22.60,"Sinusectomy, not otherwise specified",22.60
2341,22.62,Excision of lesion of maxillary sinus with other approach,22.62
2589,45.33,"Local excision of lesion or tissue of small intestine, except duodenum",45.33
2590,45.6,Other excision of small intestine,45.6
2921,55.32,Open ablation of renal lesion or tissue,55.32
2922,55.33,Percutaneous ablation of renal lesion or tissue,55.33
2923,55.35,Other and unspecified ablation of renal lesion or tissue,55.35
3432,12.87,Scleral reinforcement with graft,12.87
4497,18.3,Other excision of external ear,18.3
4498,18.39,Other excision of external ear,18.39
4709,34.81,Excision of lesion or tissue of diaphragm,34.81
4736,95.26,"Tonography, provocative tests, and other glaucoma testing",95.26
4824,33.23,Other bronchoscopy,33.23
4921,67.11,Endocervical biopsy,67.11
5036,94.26,Subconvulsive electroshock therapy,94.26
5420,35.71,Other and unspecified repair of atrial septal defect,35.71
5447,35.01,"Closed heart valvotomy, aortic valve",35.01
5489,27.61,Suture of laceration of palate,27.61
5523,29.53,Closure of other fistula of pharynx,29.53
5556,45.94,Large-to-large intestinal anastomosis,45.94
5573,46.75,Suture of laceration of large intestine,46.75
5601,48.75,Abdominal proctopexy,48.75
5645,57.6,Partial cystectomy,57.6
5722,69.4,Uterine repair,69.4
5723,69.49,Other repair of uterus,69.49
5724,75.5,Repair of current obstetric laceration of uterus,75.5
5868,08.01,Incision of lid margin,08.01
5899,10.42,Reconstruction of conjunctival cul-de-sac with free graft,10.42
5911,08.92,Cryosurgical epilation of eyelid,08.92
6095,57.93,Control of (postoperative) hemorrhage of bladder,57.93
6143,24.91,Extension or deepening of buccolabial or lingual sulcus,24.91
7077,27.23,Biopsy of lip,27.23
7115,34.20,Thoracoscopic pleural biopsy,34.20
7132,34.24,Other pleural biopsy,34.24
7290,68.4,Total abdominal hysterectomy,68.4
7291,68.49,Other and unspecified total abdominal hysterectomy,68.49
7367,65.22,Wedge resection of ovary,65.22
