,concept_code_y,concept_name_y,opcs
13,92.24,Teleradiotherapy using photons,92.24
53,92.2,Therapeutic radiology and nuclear medicine,92.2
202,92.26,Teleradiotherapy of other particulate radiation,92.26
203,92.33,Particulate radiosurgery,92.33
398,92.3,Stereotactic radiosurgery,92.3
399,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
400,92.32,Multi-source photon radiosurgery,92.32
402,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
1864,92.4,Intra-operative radiation procedures,92.4
1865,92.41,Intra-operative electron radiation therapy,92.41
4987,00.10,Implantation of chemotherapeutic agent,00.10
4988,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
5133,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
5181,92.20,Infusion of liquid brachytherapy radioisotope,92.20
5778,92.23,Radioisotopic teleradiotherapy,92.23
5779,92.28,Injection or instillation of radioisotopes,92.28
6425,92.31,Single source photon radiosurgery,92.31
6639,92.25,Teleradiotherapy using electrons,92.25
6732,92.22,Orthovoltage radiation,92.22
6815,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
7416,92.21,Superficial radiation,92.21
7510,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
