,concept_code_y,concept_name_y,icd
13,92.24,Teleradiotherapy using photons,92.24
37,92.26,Teleradiotherapy of other particulate radiation,92.26
38,92.33,Particulate radiosurgery,92.33
172,92.3,Stereotactic radiosurgery,92.3
173,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
174,92.32,Multi-source photon radiosurgery,92.32
176,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
439,32.9,Other excision of lung,32.9
745,92.4,Intra-operative radiation procedures,92.4
746,92.41,Intra-operative electron radiation therapy,92.41
1577,32.4,Lobectomy of lung,32.4
1578,32.49,Other lobectomy of lung,32.49
1622,32.3,Segmental resection of lung,32.3
1623,32.30,Thoracoscopic segmental resection of lung,32.30
1624,32.39,Other and unspecified segmental resection of lung,32.39
2139,33.28,Open biopsy of lung,33.28
2399,33.51,Unilateral lung transplantation,33.51
2411,33.52,Bilateral lung transplantation,33.52
2758,33.27,Closed endoscopic biopsy of lung,33.27
2791,32.50,Thoracoscopic pneumonectomy,32.50
2915,33.26,Closed [percutaneous] [needle] biopsy of lung,33.26
2995,33.43,Closure of laceration of lung,33.43
3107,33.6,Combined heart-lung transplantation,33.6
4076,00.10,Implantation of chemotherapeutic agent,00.10
4077,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
4256,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
4636,32.22,Lung volume reduction surgery,32.22
4831,92.15,Pulmonary scan,92.15
5031,32.20,Thoracoscopic excision of lesion or tissue of lung,32.20
5079,92.31,Single source photon radiosurgery,92.31
5229,32.23,Open ablation of lung lesion or tissue,32.23
5230,32.24,Percutaneous ablation of lung lesion or tissue,32.24
5231,32.25,Thoracoscopic ablation of lung lesion or tissue,32.25
5232,32.26,Other and unspecified ablation of lung lesion or tissue,32.26
5265,32.21,Plication of emphysematous bleb,32.21
5278,33.1,Incision of lung,33.1
5295,92.25,Teleradiotherapy using electrons,92.25
5372,32.5,Pneumonectomy,32.5
5373,32.59,Other and unspecified pneumonectomy,32.59
5439,92.22,Orthovoltage radiation,92.22
5580,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
5976,33.20,Thoracoscopic lung biopsy,33.20
6484,32.41,Thoracoscopic lobectomy of lung,32.41
6598,92.21,Superficial radiation,92.21
6804,99.88,Therapeutic photopheresis,99.88
6823,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
6954,33.5,Lung transplant,33.5
6955,33.50,"Lung transplantation, not otherwise specified",33.50
7032,33.49,Other repair and plastic operations on lung,33.49
7105,33.93,Puncture of lung,33.93
