,concept_code_y,concept_name_y,icd
9,0DVP0CZ,"Restriction of Rectum with Extraluminal Device, Open Approach",0DVP0CZ
10,0DVP0DZ,"Restriction of Rectum with Intraluminal Device, Open Approach",0DVP0DZ
11,0DVP0ZZ,"Restriction of Rectum, Open Approach",0DVP0ZZ
12,0DVP3CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Approach",0DVP3CZ
13,0DVP3DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Approach",0DVP3DZ
14,0DVP3ZZ,"Restriction of Rectum, Percutaneous Approach",0DVP3ZZ
15,0DVP4CZ,"Restriction of Rectum with Extraluminal Device, Percutaneous Endoscopic Approach",0DVP4CZ
16,0DVP4DZ,"Restriction of Rectum with Intraluminal Device, Percutaneous Endoscopic Approach",0DVP4DZ
17,0DVP4ZZ,"Restriction of Rectum, Percutaneous Endoscopic Approach",0DVP4ZZ
18,0DVP7DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening",0DVP7DZ
19,0DVP7ZZ,"Restriction of Rectum, Via Natural or Artificial Opening",0DVP7ZZ
20,0DVP8DZ,"Restriction of Rectum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",0DVP8DZ
21,0DVP8ZZ,"Restriction of Rectum, Via Natural or Artificial Opening Endoscopic",0DVP8ZZ
553,DU21HZZ,Stereotactic Particulate Radiosurgery of Cervix,DU21HZZ
554,DU21JZZ,Stereotactic Gamma Beam Radiosurgery of Cervix,DU21JZZ
555,DU22DZZ,Stereotactic Other Photon Radiosurgery of Uterus,DU22DZZ
556,DU22HZZ,Stereotactic Particulate Radiosurgery of Uterus,DU22HZZ
557,DU22JZZ,Stereotactic Gamma Beam Radiosurgery of Uterus,DU22JZZ
558,DV20DZZ,Stereotactic Other Photon Radiosurgery of Prostate,DV20DZZ
559,DV20HZZ,Stereotactic Particulate Radiosurgery of Prostate,DV20HZZ
560,DV20JZZ,Stereotactic Gamma Beam Radiosurgery of Prostate,DV20JZZ
561,DV21DZZ,Stereotactic Other Photon Radiosurgery of Testis,DV21DZZ
562,DV21HZZ,Stereotactic Particulate Radiosurgery of Testis,DV21HZZ
563,DV21JZZ,Stereotactic Gamma Beam Radiosurgery of Testis,DV21JZZ
564,DB20DZZ,Stereotactic Other Photon Radiosurgery of Trachea,DB20DZZ
565,DB20HZZ,Stereotactic Particulate Radiosurgery of Trachea,DB20HZZ
566,DB20JZZ,Stereotactic Gamma Beam Radiosurgery of Trachea,DB20JZZ
567,DB21DZZ,Stereotactic Other Photon Radiosurgery of Bronchus,DB21DZZ
568,DB21HZZ,Stereotactic Particulate Radiosurgery of Bronchus,DB21HZZ
569,DB21JZZ,Stereotactic Gamma Beam Radiosurgery of Bronchus,DB21JZZ
570,DB22DZZ,Stereotactic Other Photon Radiosurgery of Lung,DB22DZZ
571,DB22HZZ,Stereotactic Particulate Radiosurgery of Lung,DB22HZZ
572,DB22JZZ,Stereotactic Gamma Beam Radiosurgery of Lung,DB22JZZ
573,DB25DZZ,Stereotactic Other Photon Radiosurgery of Pleura,DB25DZZ
574,DB25HZZ,Stereotactic Particulate Radiosurgery of Pleura,DB25HZZ
575,DB25JZZ,Stereotactic Gamma Beam Radiosurgery of Pleura,DB25JZZ
576,DB26DZZ,Stereotactic Other Photon Radiosurgery of Mediastinum,DB26DZZ
577,DB26HZZ,Stereotactic Particulate Radiosurgery of Mediastinum,DB26HZZ
578,DB26JZZ,Stereotactic Gamma Beam Radiosurgery of Mediastinum,DB26JZZ
579,DB27DZZ,Stereotactic Other Photon Radiosurgery of Chest Wall,DB27DZZ
580,DB27HZZ,Stereotactic Particulate Radiosurgery of Chest Wall,DB27HZZ
581,DB27JZZ,Stereotactic Gamma Beam Radiosurgery of Chest Wall,DB27JZZ
582,DB28DZZ,Stereotactic Other Photon Radiosurgery of Diaphragm,DB28DZZ
583,DB28HZZ,Stereotactic Particulate Radiosurgery of Diaphragm,DB28HZZ
584,DB28JZZ,Stereotactic Gamma Beam Radiosurgery of Diaphragm,DB28JZZ
585,DW21DZZ,Stereotactic Other Photon Radiosurgery of Head and Neck,DW21DZZ
586,DW21HZZ,Stereotactic Particulate Radiosurgery of Head and Neck,DW21HZZ
587,DW21JZZ,Stereotactic Gamma Beam Radiosurgery of Head and Neck,DW21JZZ
588,DW22DZZ,Stereotactic Other Photon Radiosurgery of Chest,DW22DZZ
589,DW22HZZ,Stereotactic Particulate Radiosurgery of Chest,DW22HZZ
590,DW22JZZ,Stereotactic Gamma Beam Radiosurgery of Chest,DW22JZZ
591,DW23DZZ,Stereotactic Other Photon Radiosurgery of Abdomen,DW23DZZ
592,DW23HZZ,Stereotactic Particulate Radiosurgery of Abdomen,DW23HZZ
593,DW23JZZ,Stereotactic Gamma Beam Radiosurgery of Abdomen,DW23JZZ
594,DW26DZZ,Stereotactic Other Photon Radiosurgery of Pelvic Region,DW26DZZ
595,DW26HZZ,Stereotactic Particulate Radiosurgery of Pelvic Region,DW26HZZ
596,DW26JZZ,Stereotactic Gamma Beam Radiosurgery of Pelvic Region,DW26JZZ
597,DD20DZZ,Stereotactic Other Photon Radiosurgery of Esophagus,DD20DZZ
598,DD20HZZ,Stereotactic Particulate Radiosurgery of Esophagus,DD20HZZ
599,DD20JZZ,Stereotactic Gamma Beam Radiosurgery of Esophagus,DD20JZZ
600,DD21DZZ,Stereotactic Other Photon Radiosurgery of Stomach,DD21DZZ
601,DD21HZZ,Stereotactic Particulate Radiosurgery of Stomach,DD21HZZ
602,DD21JZZ,Stereotactic Gamma Beam Radiosurgery of Stomach,DD21JZZ
603,DD22DZZ,Stereotactic Other Photon Radiosurgery of Duodenum,DD22DZZ
604,DD22HZZ,Stereotactic Particulate Radiosurgery of Duodenum,DD22HZZ
605,DD22JZZ,Stereotactic Gamma Beam Radiosurgery of Duodenum,DD22JZZ
606,DD23DZZ,Stereotactic Other Photon Radiosurgery of Jejunum,DD23DZZ
607,DD23HZZ,Stereotactic Particulate Radiosurgery of Jejunum,DD23HZZ
608,DD23JZZ,Stereotactic Gamma Beam Radiosurgery of Jejunum,DD23JZZ
609,DD24DZZ,Stereotactic Other Photon Radiosurgery of Ileum,DD24DZZ
610,DD24HZZ,Stereotactic Particulate Radiosurgery of Ileum,DD24HZZ
611,DD24JZZ,Stereotactic Gamma Beam Radiosurgery of Ileum,DD24JZZ
612,DD25DZZ,Stereotactic Other Photon Radiosurgery of Colon,DD25DZZ
613,DD25HZZ,Stereotactic Particulate Radiosurgery of Colon,DD25HZZ
614,DD25JZZ,Stereotactic Gamma Beam Radiosurgery of Colon,DD25JZZ
615,DD27DZZ,Stereotactic Other Photon Radiosurgery of Rectum,DD27DZZ
616,DD27HZZ,Stereotactic Particulate Radiosurgery of Rectum,DD27HZZ
617,DD27JZZ,Stereotactic Gamma Beam Radiosurgery of Rectum,DD27JZZ
618,D020DZZ,Stereotactic Other Photon Radiosurgery of Brain,D020DZZ
619,D020HZZ,Stereotactic Particulate Radiosurgery of Brain,D020HZZ
620,D020JZZ,Stereotactic Gamma Beam Radiosurgery of Brain,D020JZZ
621,D021DZZ,Stereotactic Other Photon Radiosurgery of Brain Stem,D021DZZ
622,D021HZZ,Stereotactic Particulate Radiosurgery of Brain Stem,D021HZZ
623,D021JZZ,Stereotactic Gamma Beam Radiosurgery of Brain Stem,D021JZZ
624,D026DZZ,Stereotactic Other Photon Radiosurgery of Spinal Cord,D026DZZ
625,D026HZZ,Stereotactic Particulate Radiosurgery of Spinal Cord,D026HZZ
626,D026JZZ,Stereotactic Gamma Beam Radiosurgery of Spinal Cord,D026JZZ
627,D027DZZ,Stereotactic Other Photon Radiosurgery of Peripheral Nerve,D027DZZ
628,D027HZZ,Stereotactic Particulate Radiosurgery of Peripheral Nerve,D027HZZ
629,D027JZZ,Stereotactic Gamma Beam Radiosurgery of Peripheral Nerve,D027JZZ
630,DF20DZZ,Stereotactic Other Photon Radiosurgery of Liver,DF20DZZ
631,DF20HZZ,Stereotactic Particulate Radiosurgery of Liver,DF20HZZ
632,DF20JZZ,Stereotactic Gamma Beam Radiosurgery of Liver,DF20JZZ
633,DF21DZZ,Stereotactic Other Photon Radiosurgery of Gallbladder,DF21DZZ
634,DF21HZZ,Stereotactic Particulate Radiosurgery of Gallbladder,DF21HZZ
635,DF21JZZ,Stereotactic Gamma Beam Radiosurgery of Gallbladder,DF21JZZ
636,DF22DZZ,Stereotactic Other Photon Radiosurgery of Bile Ducts,DF22DZZ
637,DF22HZZ,Stereotactic Particulate Radiosurgery of Bile Ducts,DF22HZZ
638,DF22JZZ,Stereotactic Gamma Beam Radiosurgery of Bile Ducts,DF22JZZ
639,DF23DZZ,Stereotactic Other Photon Radiosurgery of Pancreas,DF23DZZ
640,DF23HZZ,Stereotactic Particulate Radiosurgery of Pancreas,DF23HZZ
641,DF23JZZ,Stereotactic Gamma Beam Radiosurgery of Pancreas,DF23JZZ
642,DG20DZZ,Stereotactic Other Photon Radiosurgery of Pituitary Gland,DG20DZZ
643,DG20HZZ,Stereotactic Particulate Radiosurgery of Pituitary Gland,DG20HZZ
644,DG20JZZ,Stereotactic Gamma Beam Radiosurgery of Pituitary Gland,DG20JZZ
645,DG21DZZ,Stereotactic Other Photon Radiosurgery of Pineal Body,DG21DZZ
646,DG21HZZ,Stereotactic Particulate Radiosurgery of Pineal Body,DG21HZZ
647,DG21JZZ,Stereotactic Gamma Beam Radiosurgery of Pineal Body,DG21JZZ
648,DG22DZZ,Stereotactic Other Photon Radiosurgery of Adrenal Glands,DG22DZZ
649,DG22HZZ,Stereotactic Particulate Radiosurgery of Adrenal Glands,DG22HZZ
650,DG22JZZ,Stereotactic Gamma Beam Radiosurgery of Adrenal Glands,DG22JZZ
651,D720DZZ,Stereotactic Other Photon Radiosurgery of Bone Marrow,D720DZZ
652,D720HZZ,Stereotactic Particulate Radiosurgery of Bone Marrow,D720HZZ
653,D720JZZ,Stereotactic Gamma Beam Radiosurgery of Bone Marrow,D720JZZ
