,concept_code_y,concept_name_y,icd
48,14.53,Repair of retinal detachment with xenon arc photocoagulation,14.53
694,36.14,(Aorto)coronary bypass of four or more coronary arteries,36.14
712,89.55,Phonocardiogram with ECG lead,89.55
764,56.2,Ureterotomy,56.2
793,34.83,Closure of fistula of diaphragm,34.83
999,77.66,"Local excision of lesion or tissue of bone, patella",77.66
1022,79.68,"Debridement of open fracture site, phalanges of foot",79.68
1575,22.6,Other nasal sinusectomy,22.6
1576,22.60,"Sinusectomy, not otherwise specified",22.60
1577,22.62,Excision of lesion of maxillary sinus with other approach,22.62
1930,55.32,Open ablation of renal lesion or tissue,55.32
1931,55.33,Percutaneous ablation of renal lesion or tissue,55.33
1932,55.35,Other and unspecified ablation of renal lesion or tissue,55.35
1985,56.4,Ureterectomy,56.4
1986,56.40,"Ureterectomy, not otherwise specified",56.40
2384,12.87,Scleral reinforcement with graft,12.87
2769,18.3,Other excision of external ear,18.3
2770,18.39,Other excision of external ear,18.39
2817,34.81,Excision of lesion or tissue of diaphragm,34.81
2967,33.23,Other bronchoscopy,33.23
3062,66.32,Other bilateral ligation and division of fallopian tubes,66.32
3106,67.11,Endocervical biopsy,67.11
3135,81.43,Triad knee repair,81.43
3171,94.26,Subconvulsive electroshock therapy,94.26
3183,00.66,Percutaneous transluminal coronary angioplasty [PTCA],00.66
3522,77.6,Local excision of lesion or tissue of bone,77.6
3523,77.60,"Local excision of lesion or tissue of bone, unspecified site",77.60
3524,77.61,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]",77.61
3525,77.64,"Local excision of lesion or tissue of bone, carpals and metacarpals",77.64
3526,77.65,"Local excision of lesion or tissue of bone, femur",77.65
3528,77.68,"Local excision of lesion or tissue of bone, tarsals and metatarsals",77.68
3529,77.69,"Local excision of lesion or tissue of bone, other bones",77.69
3622,80.59,Other destruction of intervertebral disc,80.59
3829,79.05,"Closed reduction of fracture without internal fixation, femur",79.05
4004,35.71,Other and unspecified repair of atrial septal defect,35.71
4044,35.01,"Closed heart valvotomy, aortic valve",35.01
4116,38.68,"Other excision of vessels, lower limb arteries",38.68
4300,27.61,Suture of laceration of palate,27.61
4346,29.53,Closure of other fistula of pharynx,29.53
4382,07.51,Exploration of pineal field,07.51
4417,57.6,Partial cystectomy,57.6
4497,64.41,Suture of laceration of penis,64.41
4582,69.4,Uterine repair,69.4
4583,69.49,Other repair of uterus,69.49
4584,75.5,Repair of current obstetric laceration of uterus,75.5
4752,73.51,Manual rotation of fetal head,73.51
4778,02.31,Ventricular shunt to structure in head and neck,02.31
4826,08.01,Incision of lid margin,08.01
4875,10.42,Reconstruction of conjunctival cul-de-sac with free graft,10.42
4887,08.92,Cryosurgical epilation of eyelid,08.92
4926,14.34,Repair of retinal tear by laser photocoagulation,14.34
5099,87.7,X-ray of urinary system,87.7
5100,87.72,Other nephrotomogram,87.72
5101,87.77,Other cystogram,87.77
5102,87.79,Other x-ray of the urinary system,87.79
5149,87.76,Retrograde cystourethrogram,87.76
5230,57.93,Control of (postoperative) hemorrhage of bladder,57.93
5278,24.91,Extension or deepening of buccolabial or lingual sulcus,24.91
5390,69.0,Dilation and curettage of uterus,69.0
5391,69.02,Dilation and curettage following delivery or abortion,69.02
5392,69.09,Other dilation and curettage,69.09
5649,74.3,Removal of extratubal ectopic pregnancy,74.3
5650,74.4,Cesarean section of other specified type,74.4
5651,74.9,Cesarean section of unspecified type,74.9
5652,74.99,Other cesarean section of unspecified type,74.99
5677,74,Cesarean section and removal of fetus,74
5940,63.6,Vasotomy,63.6
6172,27.23,Biopsy of lip,27.23
6274,34.20,Thoracoscopic pleural biopsy,34.20
6291,34.24,Other pleural biopsy,34.24
6317,65.4,Unilateral salpingo-oophorectomy,65.4
6318,65.49,Other unilateral salpingo-oophorectomy,65.49
6319,65.62,Other removal of remaining ovary and tube,65.62
6516,68.4,Total abdominal hysterectomy,68.4
6517,68.49,Other and unspecified total abdominal hysterectomy,68.49
6673,65.22,Wedge resection of ovary,65.22
6729,68.14,Open biopsy of uterine ligaments,68.14
6813,56.71,Urinary diversion to intestine,56.71
7044,63.92,Epididymotomy,63.92
7136,66.7,Repair of fallopian tube,66.7
7137,66.79,Other repair of fallopian tube,66.79
7242,35.51,"Repair of atrial septal defect with prosthesis, open technique",35.51
7341,88.82,Ocular thermography,88.82
7563,95.16,P32 and other tracer studies of eye,95.16
7577,62.11,Closed [percutaneous] [needle] biopsy of testis,62.11
7644,78.35,"Limb lengthening procedures, femur",78.35
7674,68.16,Closed biopsy of uterus,68.16
7704,50.6,Repair of liver,50.6
7705,50.69,Other repair of liver,50.69
7841,80.15,"Other arthrotomy, hip",80.15
7842,80.45,"Division of joint capsule, ligament, or cartilage, hip",80.45
7926,78.55,"Internal fixation of bone without fracture reduction, femur",78.55
8554,80.48,"Division of joint capsule, ligament, or cartilage, foot and toe",80.48
9689,21.4,Resection of nose,21.4
9851,04.04,Other incision of cranial and peripheral nerves,04.04
9918,31.75,Reconstruction of trachea and construction of artificial larynx,31.75
9949,32.1,Other excision of bronchus,32.1
10433,32.9,Other excision of lung,32.9
11226,27.4,Excision of other parts of mouth,27.4
11227,27.49,Other excision of mouth,27.49
11302,26.49,Other repair and plastic operations on salivary gland or duct,26.49
11702,28.6,Adenoidectomy without tonsillectomy,28.6
12022,62.3,Unilateral orchiectomy,62.3
12708,66.52,Removal of remaining fallopian tube,66.52
12709,66.6,Other salpingectomy,66.6
13048,03.5,Plastic operations on spinal cord structures,03.5
13049,03.59,Other repair and plastic operations on spinal cord structures,03.59
13482,18.71,Construction of auricle of ear,18.71
13641,89.69,Monitoring of coronary blood flow,89.69
13746,70.24,Vaginal biopsy,70.24
13826,77.92,"Total ostectomy, humerus",77.92
14228,86.65,Heterograft to skin,86.65
14266,04.72,Accessory-facial anastomosis,04.72
14302,35.62,Repair of ventricular septal defect with tissue graft,35.62
14316,20.23,Incision of middle ear,20.23
14392,81.09,"Refusion of spine, any level or technique",81.09
14393,81.3,Refusion of spine,81.3
14394,81.30,"Refusion of spine, not otherwise specified",81.30
14395,81.31,Refusion of atlas-axis spine,81.31
14396,81.32,"Refusion of other cervical spine, anterior column, anterior technique",81.32
14397,81.33,"Refusion of other cervical spine, posterior column, posterior technique",81.33
