,concept_code_y,concept_name_y,icd
8,48.76,Other proctopexy,48.76
96,92.24,Teleradiotherapy using photons,92.24
141,48.75,Abdominal proctopexy,48.75
154,92.26,Teleradiotherapy of other particulate radiation,92.26
155,92.33,Particulate radiosurgery,92.33
287,92.3,Stereotactic radiosurgery,92.3
288,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
289,92.32,Multi-source photon radiosurgery,92.32
291,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
763,48.23,Rigid proctosigmoidoscopy,48.23
864,49.91,Incision of anal septum,49.91
968,92.4,Intra-operative radiation procedures,92.4
969,92.41,Intra-operative electron radiation therapy,92.41
2690,48.72,Closure of proctostomy,48.72
2762,49.03,Excision of perianal skin tags,49.03
2952,96.23,Dilation of anal sphincter,96.23
2999,48.74,Rectorectostomy,48.74
3045,49.52,Posterior anal sphincterotomy,49.52
3100,48.73,Closure of other rectal fistula,48.73
3184,49.72,Anal cerclage,49.72
3377,48.31,Radical electrocoagulation of rectal lesion or tissue,48.31
3378,48.32,Other electrocoagulation of rectal lesion or tissue,48.32
3645,48.92,Anorectal myectomy,48.92
3697,49.79,Other repair of anal sphincter,49.79
4000,49.46,Excision of hemorrhoids,49.46
4036,49.93,Other incision of anus,49.93
4080,45.8,Total intra-abdominal colectomy,45.8
4081,45.81,Laparoscopic total intra-abdominal colectomy,45.81
4082,45.82,Open total intra-abdominal colectomy,45.82
4083,45.83,Other and unspecified total intra-abdominal colectomy,45.83
4290,45.74,Open and other resection of transverse colon,45.74
4628,48.36,[Endoscopic] polypectomy of rectum,48.36
4656,48.24,Closed [endoscopic] biopsy of rectum,48.24
4777,48.7,Repair of rectum,48.7
4780,48.79,Other repair of rectum,48.79
4806,96.37,Proctoclysis,96.37
4952,49.44,Destruction of hemorrhoids by cryotherapy,49.44
5005,49.51,Left lateral anal sphincterotomy,49.51
5157,17.32,Laparoscopic cecectomy,17.32
5158,45.72,Open and other cecectomy,45.72
5291,48.34,Destruction of rectal lesion or tissue by cryosurgery,48.34
6208,48.0,Proctotomy,48.0
6272,45.73,Open and other right hemicolectomy,45.73
6621,00.10,Implantation of chemotherapeutic agent,00.10
6622,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
6659,49.23,Biopsy of anus,49.23
6830,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
7025,49.43,Cauterization of hemorrhoids,49.43
7056,70.52,Repair of rectocele,70.52
7057,70.55,Repair of rectocele with graft or prosthesis,70.55
7153,89.34,Digital examination of rectum,89.34
7739,96.26,Manual reduction of rectal prolapse,96.26
7832,45.24,Flexible sigmoidoscopy,45.24
8003,92.31,Single source photon radiosurgery,92.31
8120,49.71,Suture of laceration of anus,49.71
8141,48.71,Suture of laceration of rectum,48.71
8202,49.94,Reduction of anal prolapse,49.94
8243,48.64,Posterior resection of rectum,48.64
8251,48.63,Other anterior resection of rectum,48.63
8272,92.25,Teleradiotherapy using electrons,92.25
8314,49.7,Repair of anus,49.7
8315,49.73,Closure of anal fistula,49.73
8316,49.74,Gracilis muscle transplant for anal incontinence,49.74
8317,49.75,Implantation or revision of artificial anal sphincter,49.75
8391,48.91,Incision of rectal stricture,48.91
8518,49.41,Reduction of hemorrhoids,49.41
8591,92.22,Orthovoltage radiation,92.22
8617,48.25,Open biopsy of rectum,48.25
8684,96.22,Dilation of rectum,96.22
8869,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
9302,49.95,Control of (postoperative) hemorrhage of anus,49.95
9635,46.92,Myotomy of other parts of colon,46.92
9649,45.23,Colonoscopy,45.23
9978,92.21,Superficial radiation,92.21
10022,46.76,Closure of fistula of large intestine,46.76
10047,49.11,Anal fistulotomy,49.11
10116,48.33,Destruction of rectal lesion or tissue by laser,48.33
10148,45.75,Open and other left hemicolectomy,45.75
10224,99.88,Therapeutic photopheresis,99.88
10232,49.42,Injection of hemorrhoids,49.42
10259,45.76,Open and other sigmoidectomy,45.76
10314,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
10329,49.12,Anal fistulectomy,49.12
10416,48.35,Local excision of rectal lesion or tissue,48.35
10417,48.6,Other resection of rectum,48.6
10418,48.69,Other resection of rectum,48.69
10526,99.93,Rectal massage (for levator spasm),99.93
10553,49.5,Division of anal sphincter,49.5
10554,49.59,Other anal sphincterotomy,49.59
10598,49.47,Evacuation of thrombosed hemorrhoids,49.47
