,concept_code_y,concept_name_y,icd
483,DU21HZZ,Stereotactic Particulate Radiosurgery of Cervix,DU21HZZ
484,DU21JZZ,Stereotactic Gamma Beam Radiosurgery of Cervix,DU21JZZ
485,DU22DZZ,Stereotactic Other Photon Radiosurgery of Uterus,DU22DZZ
486,DU22HZZ,Stereotactic Particulate Radiosurgery of Uterus,DU22HZZ
487,DU22JZZ,Stereotactic Gamma Beam Radiosurgery of Uterus,DU22JZZ
488,DV20DZZ,Stereotactic Other Photon Radiosurgery of Prostate,DV20DZZ
489,DV20HZZ,Stereotactic Particulate Radiosurgery of Prostate,DV20HZZ
490,DV20JZZ,Stereotactic Gamma Beam Radiosurgery of Prostate,DV20JZZ
491,DV21DZZ,Stereotactic Other Photon Radiosurgery of Testis,DV21DZZ
492,DV21HZZ,Stereotactic Particulate Radiosurgery of Testis,DV21HZZ
493,DV21JZZ,Stereotactic Gamma Beam Radiosurgery of Testis,DV21JZZ
494,DB20DZZ,Stereotactic Other Photon Radiosurgery of Trachea,DB20DZZ
495,DB20HZZ,Stereotactic Particulate Radiosurgery of Trachea,DB20HZZ
496,DB20JZZ,Stereotactic Gamma Beam Radiosurgery of Trachea,DB20JZZ
497,DB21DZZ,Stereotactic Other Photon Radiosurgery of Bronchus,DB21DZZ
498,DB21HZZ,Stereotactic Particulate Radiosurgery of Bronchus,DB21HZZ
499,DB21JZZ,Stereotactic Gamma Beam Radiosurgery of Bronchus,DB21JZZ
500,DB22DZZ,Stereotactic Other Photon Radiosurgery of Lung,DB22DZZ
501,DB22HZZ,Stereotactic Particulate Radiosurgery of Lung,DB22HZZ
502,DB22JZZ,Stereotactic Gamma Beam Radiosurgery of Lung,DB22JZZ
503,DB25DZZ,Stereotactic Other Photon Radiosurgery of Pleura,DB25DZZ
504,DB25HZZ,Stereotactic Particulate Radiosurgery of Pleura,DB25HZZ
505,DB25JZZ,Stereotactic Gamma Beam Radiosurgery of Pleura,DB25JZZ
506,DB26DZZ,Stereotactic Other Photon Radiosurgery of Mediastinum,DB26DZZ
507,DB26HZZ,Stereotactic Particulate Radiosurgery of Mediastinum,DB26HZZ
508,DB26JZZ,Stereotactic Gamma Beam Radiosurgery of Mediastinum,DB26JZZ
509,DB27DZZ,Stereotactic Other Photon Radiosurgery of Chest Wall,DB27DZZ
510,DB27HZZ,Stereotactic Particulate Radiosurgery of Chest Wall,DB27HZZ
511,DB27JZZ,Stereotactic Gamma Beam Radiosurgery of Chest Wall,DB27JZZ
512,DB28DZZ,Stereotactic Other Photon Radiosurgery of Diaphragm,DB28DZZ
513,DB28HZZ,Stereotactic Particulate Radiosurgery of Diaphragm,DB28HZZ
514,DB28JZZ,Stereotactic Gamma Beam Radiosurgery of Diaphragm,DB28JZZ
515,DW21DZZ,Stereotactic Other Photon Radiosurgery of Head and Neck,DW21DZZ
516,DW21HZZ,Stereotactic Particulate Radiosurgery of Head and Neck,DW21HZZ
517,DW21JZZ,Stereotactic Gamma Beam Radiosurgery of Head and Neck,DW21JZZ
518,DW22DZZ,Stereotactic Other Photon Radiosurgery of Chest,DW22DZZ
519,DW22HZZ,Stereotactic Particulate Radiosurgery of Chest,DW22HZZ
520,DW22JZZ,Stereotactic Gamma Beam Radiosurgery of Chest,DW22JZZ
521,DW23DZZ,Stereotactic Other Photon Radiosurgery of Abdomen,DW23DZZ
522,DW23HZZ,Stereotactic Particulate Radiosurgery of Abdomen,DW23HZZ
523,DW23JZZ,Stereotactic Gamma Beam Radiosurgery of Abdomen,DW23JZZ
524,DW26DZZ,Stereotactic Other Photon Radiosurgery of Pelvic Region,DW26DZZ
525,DW26HZZ,Stereotactic Particulate Radiosurgery of Pelvic Region,DW26HZZ
526,DW26JZZ,Stereotactic Gamma Beam Radiosurgery of Pelvic Region,DW26JZZ
527,DD20DZZ,Stereotactic Other Photon Radiosurgery of Esophagus,DD20DZZ
528,DD20HZZ,Stereotactic Particulate Radiosurgery of Esophagus,DD20HZZ
529,DD20JZZ,Stereotactic Gamma Beam Radiosurgery of Esophagus,DD20JZZ
530,DD21DZZ,Stereotactic Other Photon Radiosurgery of Stomach,DD21DZZ
531,DD21HZZ,Stereotactic Particulate Radiosurgery of Stomach,DD21HZZ
532,DD21JZZ,Stereotactic Gamma Beam Radiosurgery of Stomach,DD21JZZ
533,DD22DZZ,Stereotactic Other Photon Radiosurgery of Duodenum,DD22DZZ
534,DD22HZZ,Stereotactic Particulate Radiosurgery of Duodenum,DD22HZZ
535,DD22JZZ,Stereotactic Gamma Beam Radiosurgery of Duodenum,DD22JZZ
536,DD23DZZ,Stereotactic Other Photon Radiosurgery of Jejunum,DD23DZZ
537,DD23HZZ,Stereotactic Particulate Radiosurgery of Jejunum,DD23HZZ
538,DD23JZZ,Stereotactic Gamma Beam Radiosurgery of Jejunum,DD23JZZ
539,DD24DZZ,Stereotactic Other Photon Radiosurgery of Ileum,DD24DZZ
540,DD24HZZ,Stereotactic Particulate Radiosurgery of Ileum,DD24HZZ
541,DD24JZZ,Stereotactic Gamma Beam Radiosurgery of Ileum,DD24JZZ
542,DD25DZZ,Stereotactic Other Photon Radiosurgery of Colon,DD25DZZ
543,DD25HZZ,Stereotactic Particulate Radiosurgery of Colon,DD25HZZ
544,DD25JZZ,Stereotactic Gamma Beam Radiosurgery of Colon,DD25JZZ
545,DD27DZZ,Stereotactic Other Photon Radiosurgery of Rectum,DD27DZZ
546,DD27HZZ,Stereotactic Particulate Radiosurgery of Rectum,DD27HZZ
547,DD27JZZ,Stereotactic Gamma Beam Radiosurgery of Rectum,DD27JZZ
548,D020DZZ,Stereotactic Other Photon Radiosurgery of Brain,D020DZZ
549,D020HZZ,Stereotactic Particulate Radiosurgery of Brain,D020HZZ
550,D020JZZ,Stereotactic Gamma Beam Radiosurgery of Brain,D020JZZ
551,D021DZZ,Stereotactic Other Photon Radiosurgery of Brain Stem,D021DZZ
552,D021HZZ,Stereotactic Particulate Radiosurgery of Brain Stem,D021HZZ
553,D021JZZ,Stereotactic Gamma Beam Radiosurgery of Brain Stem,D021JZZ
554,D026DZZ,Stereotactic Other Photon Radiosurgery of Spinal Cord,D026DZZ
555,D026HZZ,Stereotactic Particulate Radiosurgery of Spinal Cord,D026HZZ
556,D026JZZ,Stereotactic Gamma Beam Radiosurgery of Spinal Cord,D026JZZ
557,D027DZZ,Stereotactic Other Photon Radiosurgery of Peripheral Nerve,D027DZZ
558,D027HZZ,Stereotactic Particulate Radiosurgery of Peripheral Nerve,D027HZZ
559,D027JZZ,Stereotactic Gamma Beam Radiosurgery of Peripheral Nerve,D027JZZ
560,DF20DZZ,Stereotactic Other Photon Radiosurgery of Liver,DF20DZZ
561,DF20HZZ,Stereotactic Particulate Radiosurgery of Liver,DF20HZZ
562,DF20JZZ,Stereotactic Gamma Beam Radiosurgery of Liver,DF20JZZ
563,DF21DZZ,Stereotactic Other Photon Radiosurgery of Gallbladder,DF21DZZ
564,DF21HZZ,Stereotactic Particulate Radiosurgery of Gallbladder,DF21HZZ
565,DF21JZZ,Stereotactic Gamma Beam Radiosurgery of Gallbladder,DF21JZZ
566,DF22DZZ,Stereotactic Other Photon Radiosurgery of Bile Ducts,DF22DZZ
