,concept_code_y,concept_name_y,icd
27,92.24,Teleradiotherapy using photons,92.24
86,92.26,Teleradiotherapy of other particulate radiation,92.26
87,92.33,Particulate radiosurgery,92.33
249,92.3,Stereotactic radiosurgery,92.3
250,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
251,92.32,Multi-source photon radiosurgery,92.32
253,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
513,32.1,Other excision of bronchus,32.1
877,32.9,Other excision of lung,32.9
1259,92.4,Intra-operative radiation procedures,92.4
1260,92.41,Intra-operative electron radiation therapy,92.41
2259,32.4,Lobectomy of lung,32.4
2260,32.49,Other lobectomy of lung,32.49
2304,32.3,Segmental resection of lung,32.3
2305,32.30,Thoracoscopic segmental resection of lung,32.30
2306,32.39,Other and unspecified segmental resection of lung,32.39
2577,39.21,Caval-pulmonary artery anastomosis,39.21
2893,33.92,Ligation of bronchus,33.92
3516,33.28,Open biopsy of lung,33.28
3776,33.51,Unilateral lung transplantation,33.51
3788,33.52,Bilateral lung transplantation,33.52
3860,35.94,Creation of conduit between atrium and pulmonary artery,35.94
4641,33.27,Closed endoscopic biopsy of lung,33.27
4658,89.63,Pulmonary artery pressure monitoring,89.63
4698,32.50,Thoracoscopic pneumonectomy,32.50
4828,33.24,Closed [endoscopic] biopsy of bronchus,33.24
4924,33.91,Bronchial dilation,33.91
5050,33.26,Closed [percutaneous] [needle] biopsy of lung,33.26
5167,33.43,Closure of laceration of lung,33.43
5398,33.6,Combined heart-lung transplantation,33.6
6385,00.10,Implantation of chemotherapeutic agent,00.10
6386,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
6565,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
6818,33.41,Suture of laceration of bronchus,33.41
6929,89.64,Pulmonary artery wedge monitoring,89.64
7362,32.22,Lung volume reduction surgery,32.22
7829,92.15,Pulmonary scan,92.15
8138,32.20,Thoracoscopic excision of lesion or tissue of lung,32.20
8186,92.31,Single source photon radiosurgery,92.31
8212,35.92,Creation of conduit between right ventricle and pulmonary artery,35.92
8589,32.23,Open ablation of lung lesion or tissue,32.23
8590,32.24,Percutaneous ablation of lung lesion or tissue,32.24
8591,32.25,Thoracoscopic ablation of lung lesion or tissue,32.25
8592,32.26,Other and unspecified ablation of lung lesion or tissue,32.26
8625,32.21,Plication of emphysematous bleb,32.21
8648,33.1,Incision of lung,33.1
8665,92.25,Teleradiotherapy using electrons,92.25
8746,33.0,Incision of bronchus,33.0
8767,32.5,Pneumonectomy,32.5
8768,32.59,Other and unspecified pneumonectomy,32.59
8865,92.22,Orthovoltage radiation,92.22
8935,87.31,Endotracheal bronchogram,87.31
8948,33.25,Open biopsy of bronchus,33.25
9203,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
9612,33.20,Thoracoscopic lung biopsy,33.20
9923,32.27,"Bronchoscopic bronchial thermoplasty, ablation of airway smooth muscle",32.27
10061,33.48,Other repair and plastic operations on bronchus,33.48
10346,32.41,Thoracoscopic lobectomy of lung,32.41
10478,92.21,Superficial radiation,92.21
10600,33.42,Closure of bronchial fistula,33.42
10706,99.88,Therapeutic photopheresis,99.88
10771,88.43,Arteriography of pulmonary arteries,88.43
10831,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
11024,33.5,Lung transplant,33.5
11025,33.50,"Lung transplantation, not otherwise specified",33.50
11114,33.49,Other repair and plastic operations on lung,33.49
11187,33.93,Puncture of lung,33.93
