,concept_code_y,concept_name_y,opcs
67,C57.3,Graft to sclera,C573
352,C01.8,Other specified excision of eye,C018
353,C01.9,Unspecified excision of eye,C019
355,C01,Excision of eye,C01
402,C47.8,Other specified closure of cornea,C478
403,C47.9,Unspecified closure of cornea,C479
404,C47,Closure of cornea,C47
562,C71.8,Other specified extracapsular extraction of lens,C718
563,C71.9,Unspecified extracapsular extraction of lens,C719
564,C71,Extracapsular extraction of lens,C71
623,C66.1,Excision of ciliary body,C661
650,C39.8,Other specified extirpation of lesion of conjunctiva,C398
651,C39.9,Unspecified extirpation of lesion of conjunctiva,C399
652,C39,Extirpation of lesion of conjunctiva,C39
766,C46.1,Refractive keratoplasty,C461
795,C01.2,Enucleation of eye,C012
805,C39.3,Cryotherapy to lesion of conjunctiva,C393
817,C39.4,Curettage of lesion of conjunctiva,C394
826,C39.5,Radiotherapy to lesion of conjunctiva,C395
834,C40.1,Mucosal graft to conjunctiva,C401
842,C40.2,Amniotic graft to conjunctiva,C402
853,C43.2,Biopsy of lesion of conjunctiva,C432
864,C43.5,Exploration of conjunctiva,C435
876,C43.6,Creation of hood of conjunctiva,C436
890,C45.1,Superficial keratectomy,C451
907,C45.3,Cauterisation of lesion of cornea,C453
919,C45.5,Radiotherapy to lesion of cornea,C455
929,C45.7,Debridement of lesion of cornea,C457
945,C44.8,Other specified other plastic operations on cornea,C448
946,C44.9,Unspecified other plastic operations on cornea,C449
947,C44,Other plastic operations on cornea,C44
948,C46,Plastic operations on cornea,C46
956,C49.1,Section of cornea,C491
967,C49.2,Trephine of cornea,C492
977,C51.1,Biopsy of lesion of cornea,C511
986,C51.3,Exploration of cornea,C513
996,C53.1,Punch resection of sclera,C531
1006,C53.3,Cauterisation of lesion of sclera,C533
1016,C54.2,Imbrication of sclera,C542
1051,C55.8,Other specified incision of sclera,C558
1052,C55.9,Unspecified incision of sclera,C559
1053,C60.2,Inclusion of iris,C602
1054,C55,Incision of sclera,C55
1064,C57.1,Biopsy of lesion of sclera,C571
1077,C57.4,Suture of sclera,C574
1087,C60.3,Fixation of iris,C603
1103,C61.1,Laser trabeculoplasty,C611
1113,C64.4,Biopsy of lesion of iris,C644
1125,C64.6,Stretching of iris,C646
1154,C66.5,Destruction of ciliary body NEC,C665
1155,C66.8,Other specified extirpation of ciliary body,C668
1156,C66.9,Unspecified extirpation of ciliary body,C669
1157,C66,Extirpation of ciliary body,C66
1166,C66.2,Cauterisation of ciliary body,C662
1175,C69.1,Reformation of anterior chamber of eye,C691
1200,C72.8,Other specified intracapsular extraction of lens,C728
1201,C72.9,Unspecified intracapsular extraction of lens,C729
1202,C72,Intracapsular extraction of lens,C72
1216,C72.1,Forceps extraction of lens,C721
1230,C72.3,Cryoextraction of lens,C723
1241,C73.2,Capsulotomy of anterior lens capsule,C732
1251,C73.3,Capsulotomy of posterior lens capsule,C733
1274,C74.3,Mechanical lensectomy,C743
1287,C75.2,Revision of prosthetic replacement for lens,C752
1297,C77.3,Biopsy of lesion of lens,C773
1318,C79.1,Vitrectomy using anterior approach,C791
1328,C82.2,Cryotherapy to lesion of retina,C822
1337,C84.1,Epiretinal dissection,C841
1352,C84.2,Excision of lesion of retina NEC,C842
1362,C84.3,Biopsy of lesion of retina,C843
1397,C54.3,Buckling of sclera and implant HFQ,C543
1439,C52.8,Other specified excision of sclera,C528
1440,C52.9,Unspecified excision of sclera,C529
1441,C52,Excision of sclera,C52
1753,C80.2,Peel of internal limiting membrane,C802
2151,C81.8,Other specified photocoagulation of retina for detachment,C818
2152,C81.9,Unspecified photocoagulation of retina for detachment,C819
2231,C80.6,Removal of subretinal membrane NEC,C806
2243,C84.6,Retinotomy NEC,C846
2343,C87.5,Scanning laser ophthalmoscopy evaluation of retina,C875
2370,C80.1,Peel of epiretinal fibroglial membrane,C801
2380,C87.3,Tomography evaluation of retina,C873
2697,C45.6,Destruction of lesion of cornea NEC,C456
2698,C45,Extirpation of lesion of cornea,C45
2731,C59.2,Surgical iridectomy,C592
2748,C61.3,Goniotomy,C613
2762,C61.4,Goniopuncture,C614
2773,C62.2,Surgical iridotomy,C622
2782,C71.1,Simple linear extraction of lens,C711
2794,C82.1,Cauterisation of lesion of retina,C821
2830,C54.5,Buckling of sclera NEC,C545
2831,C54.8,Other specified buckling operations for attachment of retina,C548
2832,C54.9,Unspecified buckling operations for attachment of retina,C549
2833,C54,Buckling operations for attachment of retina,C54
2953,C44.1,Hydrogel prosthetic keratoplasty,C441
2996,C82.5,Panretinal laser photocoagulation to lesion of retina,C825
3088,C44.3,Endothelial graft to cornea,C443
3139,C60.4,Iridoplasty NEC,C604
3315,C54.4,Buckling of sclera and local or encircling explant HFQ,C544
3341,C80.3,Delamination of epiretinal fibrovascular membrane,C803
