,concept_code_y,concept_name_y,opcs
54,H35.8,Other specified fixation of rectum for prolapse,H358
55,H35.9,Unspecified fixation of rectum for prolapse,H359
56,H35,Fixation of rectum for prolapse,H35
57,H36,Other abdominal operations for prolapse of rectum,H36
1060,U17.4,Barium enema,U174
1061,Y90.5,Barium enema NEC,Y905
1138,X65.4,Delivery of a fraction of external beam radiotherapy NEC,X654
1139,Y91.8,Other specified external beam radiotherapy,Y918
1140,Y91.9,Unspecified external beam radiotherapy,Y919
1659,A61.3,Radiotherapy to lesion of peripheral nerve,A613
1670,C24.2,Radiotherapy to lacrimal gland,C242
1682,C45.5,Radiotherapy to lesion of cornea,C455
1694,G82.1,Radiological reduction of intussusception of ileum using barium enema,G821
1716,H06.3,Extended right hemicolectomy and anastomosis NEC,H063
1717,H06.8,Other specified extended excision of right hemicolon,H068
1718,H06.9,Unspecified extended excision of right hemicolon,H069
1723,H06,Extended excision of right hemicolon,H06
1746,H12.8,Other specified extirpation of lesion of colon,H128
1747,H12.9,Unspecified extirpation of lesion of colon,H129
1748,H12,Extirpation of lesion of colon,H12
2188,H13.8,Other specified bypass of colon,H138
2189,H13.9,Unspecified bypass of colon,H139
2190,H13,Bypass of colon,H13
2199,H13.3,Bypass of colon by anastomosis of transverse colon to sigmoid colon,H133
2210,H14.2,Refashioning of caecostomy,H142
2222,H15.6,Reduction of prolapse of colostomy,H156
2235,H17.1,Open reduction of intussusception of colon,H171
2245,H17.5,Open relief of strangulation of colon,H175
2256,H18.1,Open colonoscopy,H181
2266,H19.1,Open biopsy of lesion of colon,H191
2274,H19.3,Enterorrhaphy of colon,H193
2287,H20.1,Fibreoptic endoscopic snare resection of lesion of colon,H201
2299,H20.2,Fibreoptic endoscopic cauterisation of lesion of colon,H202
2311,H20.3,Fibreoptic endoscopic laser destruction of lesion of colon,H203
2321,H21.1,Fibreoptic endoscopic dilation of colon,H211
2333,H21.2,Fibreoptic endoscopic coagulation of blood vessel of colon,H212
2347,H26.1,Endoscopic snare resection of lesion of sigmoid colon using rigid sigmoidoscope,H261
2360,H26.2,Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope,H262
2374,H26.3,Endoscopic laser destruction of lesion of sigmoid colon using rigid sigmoidoscope,H263
2387,H26.4,Endoscopic cryotherapy to lesion of sigmoid colon using rigid sigmoidoscope,H264
2398,H27.1,Endoscopic dilation of sigmoid colon using rigid sigmoidoscope,H271
2411,H30.5,Irrigation of colon,H305
2421,H33.3,Anterior resection of rectum and anastomosis of colon to rectum using staples,H333
2432,H34.1,Open excision of lesion of rectum,H341
2442,H34.2,Open cauterisation of lesion of rectum,H342
2451,H34.3,Open cryotherapy to lesion of rectum,H343
2462,H34.4,Open laser destruction of lesion of rectum,H344
2472,H40.1,Trans-sphincteric excision of mucosa of rectum,H401
2482,H40.3,Trans-sphincteric destruction of lesion of rectum,H403
2509,H42.6,Perineal repair of prolapse of rectum NEC,H426
2510,H42.8,Other specified perineal operations for prolapse of rectum,H428
2511,H42.9,Unspecified perineal operations for prolapse of rectum,H429
2524,H42.2,Perineal plication of levator ani muscles and anal sphincters,H422
2544,H42.3,Insertion of supralevator sling,H423
2554,H44.4,Examination of rectum under anaesthetic,H444
2563,H44.5,Massage of rectum,H445
2578,H46.2,Hydrostatic reduction of intussusception of rectum,H462
2650,H16.2,Caecotomy,H162
3175,H20.4,Fibreoptic endoscopic destruction of lesion of colon NEC,H204
3257,H35.1,Anterior fixation of rectum NEC,H351
3270,H35.3,Posterior fixation of rectum NEC,H353
3374,H11.1,Colectomy and end to end anastomosis of colon to colon NEC,H111
3375,H11.3,Colectomy and anastomosis NEC,H113
