,concept_code_y,concept_name_y,icd
602,56.2,Ureterotomy,56.2
631,34.83,Closure of fistula of diaphragm,34.83
1074,77.66,"Local excision of lesion or tissue of bone, patella",77.66
1097,79.68,"Debridement of open fracture site, phalanges of foot",79.68
2662,22.6,Other nasal sinusectomy,22.6
2663,22.60,"Sinusectomy, not otherwise specified",22.60
2664,22.62,Excision of lesion of maxillary sinus with other approach,22.62
3136,55.32,Open ablation of renal lesion or tissue,55.32
3137,55.33,Percutaneous ablation of renal lesion or tissue,55.33
3138,55.35,Other and unspecified ablation of renal lesion or tissue,55.35
3211,56.4,Ureterectomy,56.4
3212,56.40,"Ureterectomy, not otherwise specified",56.40
3972,12.87,Scleral reinforcement with graft,12.87
5146,18.3,Other excision of external ear,18.3
5147,18.39,Other excision of external ear,18.39
5358,34.81,Excision of lesion or tissue of diaphragm,34.81
5385,95.26,"Tonography, provocative tests, and other glaucoma testing",95.26
5526,33.23,Other bronchoscopy,33.23
5680,67.11,Endocervical biopsy,67.11
5840,81.43,Triad knee repair,81.43
5882,94.26,Subconvulsive electroshock therapy,94.26
6268,77.6,Local excision of lesion or tissue of bone,77.6
6269,77.60,"Local excision of lesion or tissue of bone, unspecified site",77.60
6270,77.61,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]",77.61
6271,77.64,"Local excision of lesion or tissue of bone, carpals and metacarpals",77.64
6272,77.65,"Local excision of lesion or tissue of bone, femur",77.65
6274,77.68,"Local excision of lesion or tissue of bone, tarsals and metatarsals",77.68
6275,77.69,"Local excision of lesion or tissue of bone, other bones",77.69
6365,80.59,Other destruction of intervertebral disc,80.59
6486,79.05,"Closed reduction of fracture without internal fixation, femur",79.05
6615,35.71,Other and unspecified repair of atrial septal defect,35.71
6642,35.01,"Closed heart valvotomy, aortic valve",35.01
6703,38.68,"Other excision of vessels, lower limb arteries",38.68
6814,27.61,Suture of laceration of palate,27.61
6848,29.53,Closure of other fistula of pharynx,29.53
6896,57.6,Partial cystectomy,57.6
6963,64.41,Suture of laceration of penis,64.41
7037,69.4,Uterine repair,69.4
7038,69.49,Other repair of uterus,69.49
7039,75.5,Repair of current obstetric laceration of uterus,75.5
7233,08.01,Incision of lid margin,08.01
7264,10.42,Reconstruction of conjunctival cul-de-sac with free graft,10.42
7276,08.92,Cryosurgical epilation of eyelid,08.92
7467,87.7,X-ray of urinary system,87.7
7468,87.72,Other nephrotomogram,87.72
7469,87.77,Other cystogram,87.77
7470,87.79,Other x-ray of the urinary system,87.79
7586,57.93,Control of (postoperative) hemorrhage of bladder,57.93
7634,24.91,Extension or deepening of buccolabial or lingual sulcus,24.91
8491,63.6,Vasotomy,63.6
8656,27.23,Biopsy of lip,27.23
8746,34.20,Thoracoscopic pleural biopsy,34.20
