,concept_code_y,concept_name_y,opcs
47,C57.3,Graft to sclera,C573
294,C01.8,Other specified excision of eye,C018
295,C01.9,Unspecified excision of eye,C019
297,C01,Excision of eye,C01
344,C47.8,Other specified closure of cornea,C478
345,C47.9,Unspecified closure of cornea,C479
346,C47,Closure of cornea,C47
504,C71.8,Other specified extracapsular extraction of lens,C718
505,C71.9,Unspecified extracapsular extraction of lens,C719
506,C71,Extracapsular extraction of lens,C71
554,C66.1,Excision of ciliary body,C661
581,C39.8,Other specified extirpation of lesion of conjunctiva,C398
582,C39.9,Unspecified extirpation of lesion of conjunctiva,C399
583,C39,Extirpation of lesion of conjunctiva,C39
697,C46.1,Refractive keratoplasty,C461
726,C01.2,Enucleation of eye,C012
736,C39.3,Cryotherapy to lesion of conjunctiva,C393
748,C39.4,Curettage of lesion of conjunctiva,C394
757,C39.5,Radiotherapy to lesion of conjunctiva,C395
765,C40.1,Mucosal graft to conjunctiva,C401
773,C40.2,Amniotic graft to conjunctiva,C402
784,C43.2,Biopsy of lesion of conjunctiva,C432
795,C43.5,Exploration of conjunctiva,C435
807,C43.6,Creation of hood of conjunctiva,C436
821,C45.1,Superficial keratectomy,C451
838,C45.3,Cauterisation of lesion of cornea,C453
850,C45.5,Radiotherapy to lesion of cornea,C455
860,C45.7,Debridement of lesion of cornea,C457
876,C44.8,Other specified other plastic operations on cornea,C448
877,C44.9,Unspecified other plastic operations on cornea,C449
878,C44,Other plastic operations on cornea,C44
879,C46,Plastic operations on cornea,C46
887,C49.1,Section of cornea,C491
898,C49.2,Trephine of cornea,C492
908,C51.1,Biopsy of lesion of cornea,C511
917,C51.3,Exploration of cornea,C513
927,C53.1,Punch resection of sclera,C531
937,C53.3,Cauterisation of lesion of sclera,C533
947,C54.2,Imbrication of sclera,C542
982,C55.8,Other specified incision of sclera,C558
983,C55.9,Unspecified incision of sclera,C559
984,C60.2,Inclusion of iris,C602
985,C55,Incision of sclera,C55
995,C57.1,Biopsy of lesion of sclera,C571
1008,C57.4,Suture of sclera,C574
1018,C60.3,Fixation of iris,C603
1034,C61.1,Laser trabeculoplasty,C611
1044,C64.4,Biopsy of lesion of iris,C644
1056,C64.6,Stretching of iris,C646
1085,C66.5,Destruction of ciliary body NEC,C665
