,concept_code_y,concept_name_y,opcs
8,48.76,Other proctopexy,48.76
96,92.24,Teleradiotherapy using photons,92.24
136,92.2,Therapeutic radiology and nuclear medicine,92.2
318,48.75,Abdominal proctopexy,48.75
331,92.26,Teleradiotherapy of other particulate radiation,92.26
332,92.33,Particulate radiosurgery,92.33
551,92.3,Stereotactic radiosurgery,92.3
552,92.30,"Stereotactic radiosurgery, not otherwise specified",92.30
553,92.32,Multi-source photon radiosurgery,92.32
555,92.39,"Stereotactic radiosurgery, not elsewhere classified",92.39
1060,48.23,Rigid proctosigmoidoscopy,48.23
1157,17.36,Laparoscopic sigmoidectomy,17.36
1290,49.91,Incision of anal septum,49.91
2550,92.4,Intra-operative radiation procedures,92.4
2551,92.41,Intra-operative electron radiation therapy,92.41
3835,48.82,Excision of perirectal tissue,48.82
5181,48.72,Closure of proctostomy,48.72
5253,49.03,Excision of perianal skin tags,49.03
5486,96.23,Dilation of anal sphincter,96.23
5541,48.74,Rectorectostomy,48.74
5655,49.52,Posterior anal sphincterotomy,49.52
5746,48.73,Closure of other rectal fistula,48.73
5849,49.72,Anal cerclage,49.72
6283,48.31,Radical electrocoagulation of rectal lesion or tissue,48.31
6284,48.32,Other electrocoagulation of rectal lesion or tissue,48.32
6551,48.92,Anorectal myectomy,48.92
6630,49.79,Other repair of anal sphincter,49.79
7055,49.46,Excision of hemorrhoids,49.46
7091,49.93,Other incision of anus,49.93
7122,70.72,Repair of colovaginal fistula,70.72
7201,45.8,Total intra-abdominal colectomy,45.8
7202,45.81,Laparoscopic total intra-abdominal colectomy,45.81
7203,45.82,Open total intra-abdominal colectomy,45.82
7204,45.83,Other and unspecified total intra-abdominal colectomy,45.83
7371,48.5,Abdominoperineal resection of rectum,48.5
7372,48.50,"Abdominoperineal resection of the rectum, not otherwise specified",48.50
7373,48.51,Laparoscopic abdominoperineal resection of the rectum,48.51
7374,48.52,Open abdominoperineal resection of the rectum,48.52
7375,48.59,Other abdominoperineal resection of the rectum,48.59
7606,45.74,Open and other resection of transverse colon,45.74
7970,48.36,[Endoscopic] polypectomy of rectum,48.36
8027,48.24,Closed [endoscopic] biopsy of rectum,48.24
8116,48.41,Soave submucosal resection of rectum,48.41
8171,48.7,Repair of rectum,48.7
8174,48.79,Other repair of rectum,48.79
8216,96.37,Proctoclysis,96.37
8350,46.91,Myotomy of sigmoid colon,46.91
8412,49.44,Destruction of hemorrhoids by cryotherapy,49.44
8477,49.51,Left lateral anal sphincterotomy,49.51
8942,17.34,Laparoscopic resection of transverse colon,17.34
9318,48.34,Destruction of rectal lesion or tissue by cryosurgery,48.34
10468,48.0,Proctotomy,48.0
10523,42.55,Intrathoracic esophageal anastomosis with interposition of colon,42.55
10558,45.73,Open and other right hemicolectomy,45.73
10685,75.62,Repair of current obstetric laceration of rectum and sphincter ani,75.62
10986,00.10,Implantation of chemotherapeutic agent,00.10
10987,99.28,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,99.28
11024,49.23,Biopsy of anus,49.23
11186,99.25,Injection or infusion of cancer chemotherapeutic substance,99.25
11243,92.20,Infusion of liquid brachytherapy radioisotope,92.20
11936,49.43,Cauterization of hemorrhoids,49.43
11966,70.52,Repair of rectocele,70.52
11967,70.55,Repair of rectocele with graft or prosthesis,70.55
12063,92.23,Radioisotopic teleradiotherapy,92.23
12064,92.28,Injection or instillation of radioisotopes,92.28
12178,89.34,Digital examination of rectum,89.34
13350,96.26,Manual reduction of rectal prolapse,96.26
13576,45.24,Flexible sigmoidoscopy,45.24
13868,92.31,Single source photon radiosurgery,92.31
14153,49.71,Suture of laceration of anus,49.71
14174,48.71,Suture of laceration of rectum,48.71
14279,49.94,Reduction of anal prolapse,49.94
14346,48.64,Posterior resection of rectum,48.64
14354,48.63,Other anterior resection of rectum,48.63
14387,92.25,Teleradiotherapy using electrons,92.25
14441,49.7,Repair of anus,49.7
14442,49.73,Closure of anal fistula,49.73
14443,49.74,Gracilis muscle transplant for anal incontinence,49.74
14444,49.75,Implantation or revision of artificial anal sphincter,49.75
14544,48.91,Incision of rectal stricture,48.91
14678,17.33,Laparoscopic right hemicolectomy,17.33
14692,45.92,Anastomosis of small intestine to rectal stump,45.92
14715,49.41,Reduction of hemorrhoids,49.41
14801,92.22,Orthovoltage radiation,92.22
14817,42.56,Other intrathoracic esophagocolostomy,42.56
14880,48.25,Open biopsy of rectum,48.25
14980,96.22,Dilation of rectum,96.22
15221,14.27,Destruction of chorioretinal lesion by implantation of radiation source,14.27
15238,70.73,Repair of rectovaginal fistula,70.73
15898,49.95,Control of (postoperative) hemorrhage of anus,49.95
16341,46.92,Myotomy of other parts of colon,46.92
16355,45.23,Colonoscopy,45.23
16804,92.21,Superficial radiation,92.21
16991,46.76,Closure of fistula of large intestine,46.76
17016,49.11,Anal fistulotomy,49.11
17121,48.61,Transsacral rectosigmoidectomy,48.61
17132,48.33,Destruction of rectal lesion or tissue by laser,48.33
17190,45.75,Open and other left hemicolectomy,45.75
17315,49.42,Injection of hemorrhoids,49.42
17342,45.76,Open and other sigmoidectomy,45.76
17397,14.26,Destruction of chorioretinal lesion by radiation therapy,14.26
17415,46.03,Exteriorization of large intestine,46.03
17441,48.4,Pull-through resection of rectum,48.4
17442,48.40,"Pull-through resection of rectum, not otherwise specified",48.40
17443,48.42,Laparoscopic pull-through resection of rectum,48.42
17444,48.43,Open pull-through resection of rectum,48.43
17445,48.49,Other pull-through resection of rectum,48.49
17456,49.12,Anal fistulectomy,49.12
17566,48.35,Local excision of rectal lesion or tissue,48.35
17567,48.6,Other resection of rectum,48.6
17568,48.69,Other resection of rectum,48.69
17687,99.93,Rectal massage (for levator spasm),99.93
17784,48.62,Anterior resection of rectum with synchronous colostomy,48.62
17801,49.5,Division of anal sphincter,49.5
17802,49.59,Other anal sphincterotomy,49.59
17862,49.47,Evacuation of thrombosed hemorrhoids,49.47
17921,42.65,Antesternal esophageal anastomosis with interposition of colon,42.65
17922,42.66,Other antesternal esophagocolostomy,42.66
