conceptId,idAndFsnTerm
16442821000119108,16442821000119108 | Fluoroscopy of colon with water soluble contrast (procedure) |
384091000119108,384091000119108 | Fluoroscopic barium enema via colostomy (procedure) |
10371000132109,10371000132109 | Colonoscopic snare polypectomy of colon (procedure) |
10361000132103,10361000132103 | Endoscopic cauterization of polyp of colon (procedure) |
1264200003,1264200003 | Excision of lesion of rectum by transanal minimal invasive surgery (procedure) |
1263734007,1263734007 | Endoscopic control of hemorrhage of duodenum using argon plasma coagulation (procedure) |
1263398006,1263398006 | Proctoscopic control of rectal bleeding using electrocoagulation (procedure) |
1263397001,1263397001 | Colonoscopic control of rectal bleeding using electrocoagulation (procedure) |
1260482004,1260482004 | Insertion of stent into colon using colonoscope (procedure) |
1260408002,1260408002 | Segmental excision of duodenum (procedure) |
1258886005,1258886005 | Reduction of intussusception of intestine using enema (procedure) |
1231763005,1231763005 | Magnetic resonance imaging of small intestine with contrast (procedure) |
1220549001,1220549001 | Laparoscopic excision of ileum (procedure) |
1220548009,1220548009 | Open excision of ileum (procedure) |
1220546008,1220546008 | Laparoscopic excision of jejunum (procedure) |
1220544006,1220544006 | Open excision of jejunum (procedure) |
1217116004,1217116004 | Endoscopic examination of ileoanal pouch (procedure) |
1204476003,1204476003 | Endoscopy of large intestine using video capsule endoscopy system (procedure) |
1186912002,1186912002 | Laparoscopic low anterior resection of rectum with construction of colostomy (procedure) |
1153549003,1153549003 | Irrigation of colon via colostomy (procedure) |
866199004,866199004 | Ultrasonography of intestine with contrast (procedure) |
838446004,838446004 | Endoscopic balloon dilation of duodenal papilla (procedure) |
789398005,789398005 | Decompression of small intestine via colonoscope (procedure) |
787938008,787938008 | Partial resection of small bowel using robotic assistance (procedure) |
787876003,787876003 | Laparoscopic total colectomy and ileostomy (procedure) |
787875004,787875004 | Laparoscopic total colectomy and loop ileostomy (procedure) |
787874000,787874000 | Laparoscopic total colectomy (procedure) |
782838000,782838000 | Laparoscopic ventral fixation of internal prolapse of rectum using synthetic mesh (procedure) |
782837005,782837005 | Laparoscopic ventral fixation of internal prolapse of rectum using biological mesh (procedure) |
782836001,782836001 | Laparoscopic ventral fixation of internal prolapse of rectum using mesh (procedure) |
773136004,773136004 | Endoscopic mucosal resection of lesion of sigmoid colon using rigid sigmoidoscope (procedure) |
773128008,773128008 | Endoscopic snare resection of lesion of colon using full thickness resection device (procedure) |
771580004,771580004 | Excision of lesion of mucous membrane of lower bowel using fiberoptic sigmoidoscope (procedure) |
771568007,771568007 | Fiberoptic endoscopic excision of lesion of colonic mucous membrane (procedure) |
771556003,771556003 | Fluoroscopy for colonic transit study (procedure) |
770699008,770699008 | Insertion of stent into duodenum using fluoroscopic guidance (procedure) |
764577000,764577000 | Magnetic resonance imaging of intestine (procedure) |
738552004,738552004 | Partial resection of colon with stoma (procedure) |
738551006,738551006 | Right colectomy with stoma (procedure) |
