snomed,opcs,opcs_term
205336009,C012,C01.2 Enucleation of eye
113113000,Y973,Y97.3 Radiology with post contrast
363115007,Y319,Y31.9 Unspecified exploration of organ NOC
446938009,C843,C84.3 Biopsy of lesion of retina
425797007,C889,C88.9 Unspecified destruction of subretinal lesion
363115007,Y311,Y31.1 Exploration of sinus track from organ NOC
41496004,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
41496004,Z199,Z19.9 Eye NEC
363115007,Y318,Y31.8 Other specified exploration of organ NOC
113113000,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
59590004,C038,C03.8 Other specified insertion of prosthesis of eye
445023004,C645,C64.5 Removal of foreign body from iris
241037002,Z199,Z19.9 Eye NEC
65839000,U216,U21.6 Ultrasound scan NEC
59590004,C039,C03.9 Unspecified insertion of prosthesis of eye
41496004,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
59590004,C012,C01.2 Enucleation of eye
445023004,C864,C86.4 Removal of foreign body from eye NEC
445023004,C433,C43.3 Removal of foreign body from conjunctiva
113113000,Z161,Z16.1 Orbit
363115007,Y322,Y32.2 Re-exploration of organ and other repair of organ NOC
164729009,Y442,Y44.2 Monitoring of pressure in organ NOC
397994004,C039,C03.9 Unspecified insertion of prosthesis of eye
274336008,C061,C06.1 Biopsy of lesion of orbit
120086003,C012,C01.2 Enucleation of eye
398874009,C826,C82.6 Laser photocoagulation to lesion of retina NEC
65839000,Z199,Z19.9 Eye NEC
11819005,Y971,Y97.1 Radiology with pre and post contrast
415282007,C713,C71.3 Aspiration of lens
41496004,U216,U21.6 Ultrasound scan NEC
252833009,Y442,Y44.2 Monitoring of pressure in organ NOC
373357006,Y069,Y06.9 Unspecified excision of lesion of organ NOC
91552000,Y713,Y71.3 Revisional operations NOC
241037002,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
61553000,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
113113000,U216,U21.6 Ultrasound scan NEC
241037002,U217,U21.7 Plain x-ray NEC
415170005,C711,C71.1 Simple linear extraction of lens
274336008,C373,C37.3 Biopsy of lesion of muscle of eye
430110008,C861,C86.1 Biopsy of lesion of eye NEC
398874009,C811,C81.1 Xenon photocoagulation of retina for detachment
120086003,C018,C01.8 Other specified excision of eye
363115007,Y329,Y32.9 Unspecified re-exploration of organ NOC
91552000,C558,C55.8 Other specified incision of sclera
274336008,C432,C43.2 Biopsy of lesion of conjunctiva
838278005,X629,X62.9 Unspecified assessment
41496004,Y973,Y97.3 Radiology with post contrast
373357006,Y065,Y06.5 Gamma wave excision of lesion of organ NOC
113113000,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
415170005,C713,C71.3 Aspiration of lens
397994004,C032,C03.2 Insertion of prosthetic replacement for eyeball
19731001,Y973,Y97.3 Radiology with post contrast
415281000,C711,C71.1 Simple linear extraction of lens
11819005,Y973,Y97.3 Radiology with post contrast
41496004,Y971,Y97.1 Radiology with pre and post contrast
241037002,Y973,Y97.3 Radiology with post contrast
397800002,C038,C03.8 Other specified insertion of prosthesis of eye
61553000,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
61553000,Y971,Y97.1 Radiology with pre and post contrast
19731001,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
430110008,Y204,Y20.4 Fine needle aspiration NOC
446938009,C061,C06.1 Biopsy of lesion of orbit
