snomed,opcs,opcs_term
13004001,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
698320000,Y072,Y07.2 Clipping of organ NOC
42624001,G538,G53.8 Other specified other open operations on duodenum
286780001,Y519,Y51.9 Unspecified approach to organ through artificial opening into gastrointestinal tract
73761001,H221,H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
68188002,H169,H16.9 Unspecified incision of colon
446362009,H242,H24.2 Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
128401003,Y162,Y16.2 Anastomosis of organ NOC
359596007,G631,G63.1 Open biopsy of lesion of jejunum
169009002,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
235345009,H403,H40.3 Trans-sphincteric destruction of lesion of rectum
107944001,H063,H06.3 Extended right hemicolectomy and anastomosis NEC
52667004,H108,H10.8 Other specified excision of sigmoid colon
12827003,H411,H41.1 Rectosigmoidectomy and peranal anastomosis
307658004,H152,H15.2 End colostomy
238236007,T292,T29.2 Excision of urachus
359583006,Y512,Y51.2 Approach to organ through gastrostomy
235149006,G791,G79.1 Endoscopic extirpation of lesion of ileum
447979003,H232,H23.2 Endoscopic cauterisation of lesion of lower bowel using fibreoptic sigmoidoscope
418294002,U215,U21.5 Contrast fluoroscopy NEC
235152003,Y254,Y25.4 Removal of other suture from organ NOC
265380001,G611,G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum
310804003,G611,G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum
265402006,H206,H20.6 Fibreoptic endoscopic resection of lesion of colon NEC
174594009,J359,J35.9 Unspecified incision of sphincter of Oddi using duodenal approach
68671008,H413,H41.3 Peranal destruction of lesion of rectum
420108003,Y971,Y97.1 Radiology with pre and post contrast
28939002,H371,H37.1 Endoscopic mucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
39166002,Y072,Y07.2 Clipping of organ NOC
128401003,Y161,Y16.1 Exteriorisation of organ NOC
53003006,O302,O30.2 Splenic flexure
235147008,G641,G64.1 Endoscopic extirpation of lesion of jejunum
241168000,U215,U21.5 Contrast fluoroscopy NEC
27397009,G532,G53.2 Closure of perforation of duodenum NEC
447979003,Z291,Z29.1 Rectum
241164003,U174,U17.4 Barium enema
713047006,G441,G44.1 Fibreoptic endoscopic insertion of prosthesis into upper gastrointestinal tract
13327002,H092,H09.2 Left hemicolectomy and end to end anastomosis of colon to colon
44441009,H239,H23.9 Unspecified endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
90856004,G698,G69.8 Other specified excision of ileum
708920006,Y753,Y75.3 Robotic minimal access approach to abdominal cavity
33759004,Y259,Y25.9 Unspecified suture of organ NOC
431476005,Y514,Y51.4 Approach to organ through colostomy
36984000,Y074,Y07.4 Obliteration of diverticulum of organ NOC
33179004,Y252,Y25.2 Resuture of organ NOC
1390003,H102,H10.2 Sigmoid colectomy and anastomosis of colon to rectum
9280007,Y263,Y26.3 Stapling of organ NOC
4862007,H131,H13.1 Bypass of colon by anastomosis of ileum to colon
431334003,Y941,Y94.1 Dopamine transporter scan
17988003,G694,G69.4 Ileectomy and anastomosis of ileum to colon
241161006,U173,U17.3 Barium swallow
446416000,G801,G80.1 Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum
275230005,G521,G52.1 Closure of perforated ulcer of duodenum
73921006,H352,H35.2 Posterior fixation of rectum using prosthetic material
448653006,H336,H33.6 Anterior resection of rectum and exteriorisation of bowel
173953001,G703,G70.3 Open destruction of lesion of ileum
84952009,H065,H06.5 Extended right hemicolectomy and end to side anastomosis
445954002,Y973,Y97.3 Radiology with post contrast
235153008,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
74373008,Y338,Y33.8 Other specified puncture of organ NOC
609279008,H094,H09.4 Left hemicolectomy and ileostomy HFQ
16442821000119108,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
307244005,H241,H24.1 Endoscopic dilation of lower bowel using fibreoptic sigmoidoscope
241337005,Z291,Z29.1 Rectum
18047003,G638,G63.8 Other specified other open operations on jejunum
446362009,H262,H26.2 Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope
711421003,Z287,Z28.7 Colon NEC
275011001,Y281,Y28.1 Insertion of synthetic mesh into organ NOC
235358005,H305,H30.5 Irrigation of colon
361153005,H158,H15.8 Other specified other exteriorisation of colon
174191009,Z291,Z29.1 Rectum
10088002,G618,G61.8 Other specified bypass of jejunum
447982008,H152,H15.2 End colostomy
235147008,G793,G79.3 Endoscopic insertion of tubal prosthesis into ileum
39166002,G536,G53.6 Correction of malrotation of duodenum
41330009,H095,H09.5 Left hemicolectomy and exteriorisation of bowel NEC
34574008,J398,J39.8 Other specified other therapeutic endoscopic operations on ampulla of Vater
169009002,Y973,Y97.3 Radiology with post contrast
235367005,H418,H41.8 Other specified other operations on rectum through anus
65291007,H041,H04.1 Panproctocolectomy and ileostomy
174005007,G788,G78.8 Other specified other open operations on ileum
173937004,G671,G67.1 Intubation of jejunum for decompression of intestine
764577000,Z299,Z29.9 Bowel NEC
235406000,G758,G75.8 Other specified attention to artificial opening into ileum
447946003,H074,H07.4 Right hemicolectomy and ileostomy HFQ
32578005,Y205,Y20.5 Percutaneous biopsy NOC
174215005,H271,H27.1 Endoscopic dilation of sigmoid colon using rigid sigmoidoscope
235171001,G582,G58.2 Total jejunectomy and anastomosis of duodenum to ileum
9280007,H419,H41.9 Unspecified other operations on rectum through anus
866199004,U216,U21.6 Ultrasound scan NEC
420108003,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
241168000,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
174011005,G792,G79.2 Endoscopic dilation of ileum
419595006,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
63003009,Y299,Y29.9 Unspecified removal of foreign body from organ NOC
32325005,G782,G78.2 Strictureplasty of ileum
32044008,H111,H11.1 Colectomy and end to end anastomosis of colon to colon NEC
56288000,G761,G76.1 Open reduction of intussusception of ileum
32578005,Y203,Y20.3 Biopsy of lesion of organ NOC
52667004,H105,H10.5 Sigmoid colectomy and exteriorisation of bowel NEC
235271006,G538,G53.8 Other specified other open operations on duodenum
726096009,Z277,Z27.7 Small intestine
84952009,H079,H07.9 Unspecified other excision of right hemicolon
299694009,G801,G80.1 Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum
174192002,Z286,Z28.6 Sigmoid colon
241160007,Y973,Y97.3 Radiology with post contrast
235269006,Z274,Z27.4 Duodenum
44642007,H152,H15.2 End colostomy
274352006,H412,H41.2 Peranal excision of lesion of rectum
50774009,H069,H06.9 Unspecified extended excision of right hemicolon
241161006,Y971,Y97.1 Radiology with pre and post contrast
173953001,G708,G70.8 Other specified open extirpation of lesion of ileum
9215005,H162,H16.2 Caecotomy
84604002,H108,H10.8 Other specified excision of sigmoid colon
5722009,H131,H13.1 Bypass of colon by anastomosis of ileum to colon
782838000,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
235299002,G791,G79.1 Endoscopic extirpation of lesion of ileum
89337005,G801,G80.1 Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum
36508007,G502,G50.2 Open destruction of lesion of duodenum
431462009,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
14771009,Z291,Z29.1 Rectum
54747001,H116,H11.6 Colectomy and end to side anastomosis NEC
54747001,H062,H06.2 Extended right hemicolectomy and anastomosis of ileum to colon
54747001,H071,H07.1 Right hemicolectomy and end to end anastomosis of ileum to colon
432660009,Y534,Y53.4 Approach to organ under fluoroscopic control
715313002,G793,G79.3 Endoscopic insertion of tubal prosthesis into ileum
34984003,H412,H41.2 Peranal excision of lesion of rectum
1186912002,H336,H33.6 Anterior resection of rectum and exteriorisation of bowel
85815002,U178,U17.8 Other specified diagnostic imaging of digestive tract
84952009,H086,H08.6 Transverse colectomy and end to side anastomosis
386196007,H122,H12.2 Excision of lesion of colon NEC
287559004,G781,G78.1 Open biopsy of lesion of ileum
384091000119108,Y971,Y97.1 Radiology with pre and post contrast
25196007,H332,H33.2 Proctectomy and anastomosis of colon to anus
265407000,H269,H26.9 Unspecified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
83656000,G764,G76.4 Plication of ileum
708627007,G698,G69.8 Other specified excision of ileum
307193005,H074,H07.4 Right hemicolectomy and ileostomy HFQ
235344008,H209,H20.9 Unspecified endoscopic extirpation of lesion of colon
235348006,H418,H41.8 Other specified other operations on rectum through anus
235149006,G642,G64.2 Endoscopic dilation of jejunum
78133002,H267,H26.7 Endoscopic resection of lesion of sigmoid colon using rigid sigmoidoscope NEC
32414000,H181,H18.1 Open colonoscopy
235302002,G798,G79.8 Other specified therapeutic endoscopic operations on ileum
73509004,H299,H29.9 Unspecified subtotal excision of colon
235298005,G592,G59.2 Open destruction of lesion of jejunum
235264001,G542,G54.2 Endoscopic dilation of duodenum
174158000,H181,H18.1 Open colonoscopy
446223002,Y754,Y75.4 Hand assisted minimal access approach to abdominal cavity
265407000,H262,H26.2 Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope
449194009,H231,H23.1 Endoscopic snare resection of lesion of lower bowel using fibreoptic sigmoidoscope
235263007,Z274,Z27.4 Duodenum
