snomed,opcs,opcs_term
172286002,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
13004001,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
395096001,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
73761001,H221,H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
446362009,H242,H24.2 Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
169009002,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
169309008,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
169318005,X692,X69.2 Delivery of a fraction of total skin radiotherapy
115960007,X692,X69.2 Delivery of a fraction of total skin radiotherapy
47479005,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
228676000,Y918,Y91.8 Other specified external beam radiotherapy
52667004,H108,H10.8 Other specified excision of sigmoid colon
12827003,H411,H41.1 Rectosigmoidectomy and peranal anastomosis
307658004,H152,H15.2 End colostomy
172286002,X659,X65.9 Unspecified radiotherapy delivery
447979003,H232,H23.2 Endoscopic cauterisation of lesion of lower bowel using fibreoptic sigmoidoscope
418294002,U215,U21.5 Contrast fluoroscopy NEC
445232009,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
265402006,H206,H20.6 Fibreoptic endoscopic resection of lesion of colon NEC
429774000,X657,X65.7 Delivery of radionuclide therapy NEC
428412000,X652,X65.2 Delivery of a fraction of intracavitary radiotherapy
428923005,X656,X65.6 Delivery of a fraction of intraluminal brachytherapy
230911008,Y134,Y13.4 Radiofrequency controlled thermal destruction of lesion of organ NOC
68671008,H413,H41.3 Peranal destruction of lesion of rectum
720379009,Z376,Z37.6 Hepatic artery
720379009,X723,X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance
53003006,O302,O30.2 Splenic flexure
241168000,U215,U21.5 Contrast fluoroscopy NEC
447979003,Z291,Z29.1 Rectum
241164003,U174,U17.4 Barium enema
12149006,Y823,Y82.3 Application of local anaesthetic NEC
31652009,X728,X72.8 Other specified delivery of chemotherapy for neoplasm
13327002,H092,H09.2 Left hemicolectomy and end to end anastomosis of colon to colon
