conceptId,idAndFsnTerm
1296901000,1296901000 | Insertion of tunneled peritoneal drain into peritoneal cavity using fluoroscopic guidance (procedure) |
1296611009,1296611009 | Incision of urachal sinus (procedure) |
1296609000,1296609000 | Incision of urachal cyst (procedure) |
1197602000,1197602000 | High ligation of patent processus vaginalis (procedure) |
1196993005,1196993005 | Repositioning of peritoneal dialysis catheter using imaging guidance (procedure) |
716562007,716562007 | Removal of tunneled peritoneal drain from peritoneal cavity using fluoroscopic guidance (procedure) |
716558001,716558001 | Insertion of tunneled peritoneal drain into peritoneal cavity using ultrasonographic guidance (procedure) |
716554004,716554004 | Removal of tunneled peritoneal drain from peritoneal cavity using ultrasonographic guidance (procedure) |
713903002,713903002 | Total omentectomy (procedure) |
710313004,710313004 | Radionuclide scan of peritoneal cavity (procedure) |
710197007,710197007 | Ultrasonography of appendix (procedure) |
709655003,709655003 | Aspiration of peritoneum using computed tomography guidance (procedure) |
708680006,708680006 | Percutaneous drainage of peritoneum using imaging guidance (procedure) |
699796007,699796007 | Creation of cystoperitoneal shunt (procedure) |
698973009,698973009 | Creation of programmable cystoperitoneal shunt of brain (procedure) |
450635009,450635009 | Open biopsy of lesion of peritoneal cavity (procedure) |
446034008,446034008 | Pneumography of peritoneal cavity (procedure) |
443935000,443935000 | Excision of ruptured appendix by open approach (procedure) |
443041005,443041005 | Insertion of permanent drainage catheter into peritoneal cavity using radiologic guidance (procedure) |
443040006,443040006 | Removal of permanent drainage catheter from peritoneal cavity using radiologic guidance (procedure) |
443037006,443037006 | Percutaneous drainage of abscess of appendix using computed tomography guidance (procedure) |
443016003,443016003 | Percutaneous drainage of abscess of peritoneum using computed tomography guidance (procedure) |
432654009,432654009 | Insertion of peritoneal dialysis catheter using fluoroscopy guidance (procedure) |
430105009,430105009 | Fine needle aspiration biopsy of mesentery (procedure) |
430104008,430104008 | Fine needle aspiration biopsy of peritoneum (procedure) |
428648006,428648006 | Automated peritoneal dialysis (procedure) |
387826009,387826009 | Incision and drainage of subphrenic space (procedure) |
387824007,387824007 | Incision and drainage of subdiaphragmatic abscess (procedure) |
387716006,"387716006 | Peritoneal lavage, initial (procedure) |"
387715005,387715005 | Peritoneal lavage (procedure) |
373647002,373647002 | Fine needle aspiration of lesion of peritoneal cavity (procedure) |
361176008,361176008 | Denervation of uterosacral nerves (procedure) |
361168006,361168006 | Suture of uterosacral ligament (procedure) |
359981003,359981003 | Obliteration of cul-de-sac (procedure) |
359978008,359978008 | Repair of pouch of Douglas (procedure) |
359975006,359975006 | Repair of hernia cul-de-sac (procedure) |
359902008,359902008 | Repair of abdominal sinus (procedure) |
359688006,359688006 | Incision and drainage of cul-de-sac (procedure) |
280392009,280392009 | Shunt procedure into peritoneum (procedure) |
276974006,276974006 | Partial omentectomy (procedure) |
276189003,276189003 | Excision of broad ligament (procedure) |
275245003,275245003 | Tru-cut biopsy of lesion of peritoneal cavity (procedure) |
265083008,265083008 | Shortening of broad ligament of uterus (procedure) |
252892001,252892001 | Peritoneal equilibration test (procedure) |
250073009,250073009 | Suture of broad ligament of uterus (procedure) |
241479003,241479003 | Subphrenic ultrasound scan (procedure) |
238323009,238323009 | Night-time intermittent peritoneal dialysis (procedure) |
238322004,238322004 | Tidal peritoneal dialysis (procedure) |
238321006,238321006 | Intermittent peritoneal dialysis (procedure) |
238319001,238319001 | Continuous cycling peritoneal dialysis (procedure) |
238318009,238318009 | Continuous ambulatory peritoneal dialysis (procedure) |
238307009,238307009 | Transposition of omentum (procedure) |
238306000,238306000 | Needle biopsy of lesion of peritoneal cavity (procedure) |
238305001,238305001 | Biopsy of lesion of peritoneal cavity (procedure) |
238304002,238304002 | Destruction of lesion of peritoneum (procedure) |
238303008,238303008 | Debridement of lesion of peritoneum (procedure) |
238299003,238299003 | Excision of cyst of mesentery (procedure) |
