,snomed,icd9,icd_term
11,91602002,34.91,Thoracentesis
18,408754009,87.03,Computerized axial tomography of head
32,359597003,36.15,Single internal mammary-coronary artery bypass
36,386649003,81.52,Partial hip replacement
38,265232001,3.31,Spinal tap
54,405250000,87.74,Retrograde pyelogram
66,85765000,33.22,Fiber-optic bronchoscopy
67,371186005,84.11,Amputation of toe
71,441895005,35.21,Replacement of aortic valve with tissue graft
76,446100009,86.27,"Debridement of nail, nail bed, or nail fold"
84,252793002,0.94,Intra-operative neurophysiologic monitoring
115,79733001,84.17,Amputation above knee
119,445946004,88.93,Magnetic resonance imaging of spinal canal
122,175166003,88.55,Coronary arteriography using a single catheter
125,769246001,55.23,Closed [percutaneous] [needle] biopsy of kidney
130,444188003,32.2,Thoracoscopic excision of lesion or tissue of lung
158,211570009,84.12,Amputation through foot
172,441677009,92.15,Pulmonary scan
184,387717002,56.31,Ureteroscopy
189,116024005,34.2,Thoracoscopic pleural biopsy
194,236887006,68.41,Laparoscopic total abdominal hysterectomy
199,90915003,77.7,"Excision of bone for graft, unspecified site"
201,81516001,55.4,Partial nephrectomy
224,82531008,50.12,Open biopsy of liver
225,177784006,34.51,Decortication of lung
228,129250002,57.17,Percutaneous cystostomy
229,443086008,21.03,Control of epistaxis by cauterization (and packing)
242,425789000,37.28,Intracardiac echocardiography
269,392102003,29.11,Pharyngoscopy
272,260397005,2.12,Closure of fistula of cerebrospinal fluid
277,386550008,92.02,Liver scan and radioisotope function study
288,84572006,34.6,Scarification of pleura
294,197042001,37.25,Biopsy of heart
295,90358006,79.01,Closed reduction of fracture of humerus without internal fixation
298,81828004,21.02,Control of epistaxis by posterior (and anterior) packing
303,708790006,27.51,Suture of laceration of lip
305,184598004,1.13,Closed [percutaneous] [needle] biopsy of brain
313,232628003,33.28,Open biopsy of lung
318,236258004,60.11,Closed [percutaneous] [needle] biopsy of prostate
319,269612002,77.45,Biopsy of femur
322,80254008,88.52,Angiocardiography of right heart structures
345,473242000,60.94,Control of (postoperative) hemorrhage of prostate
347,287222004,3.02,Reopening of laminectomy site
360,120036009,70.8,Obliteration of vaginal vault
372,112902005,57.6,Partial cystectomy
404,392168001,31.74,Revision of tracheostomy
409,430799001,50.13,Transjugular liver biopsy
410,239505009,81.56,Total ankle replacement
416,397862008,20.01,Myringostomy
421,698880007,1.14,Open biopsy of brain
423,288038002,71.3,Division of Skene's gland
428,417224006,18.4,Suture of laceration of external ear
436,85946004,50.3,Lobectomy of liver
437,127601009,77.56,Repair of hammer toe
447,83607001,89.26,Gynecological examination
451,266876006,83.86,Quadricepsplasty
452,358571002,35.11,Open heart valvuloplasty of aortic valve without replacement
454,307289006,76.76,Open reduction of mandibular fracture
463,82917000,1.23,Reopening of craniotomy site
472,233545006,68.12,Hysteroscopy
479,173422009,28.2,Tonsillectomy without adenoidectomy
482,307820000,81.15,Tarsometatarsal fusion
496,287440003,30.4,Radical laryngectomy
499,387727008,93.91,Intermittent positive pressure breathing [IPPB]
501,287716007,57.87,Reconstruction of urinary bladder
502,448579006,80.35,Biopsy of joint structure of hip
