snomed,opcs,opcs_term
72227005,Q288,Q28.8 Other specified other open occlusion of fallopian tube
14935000,Z391,Z39.1 Superior vena cava
446728007,G423,G42.3 Fibreoptic endoscopic mucosal resection of lesion of upper gastrointestinal tract
429862006,Y973,Y97.3 Radiology with post contrast
5105000,M119,M11.9 Unspecified diagnostic endoscopic examination of kidney
431615005,G156,G15.6 Fibreoptic endoscopic insertion of expanding metal stent into oesophagus NEC
172286002,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
49586007,H144,H14.4 Appendicocaecostomy
310832007,Y263,Y26.3 Stapling of organ NOC
418982001,K754,K75.4 Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC
426105008,G433,G43.3 Fibreoptic endoscopic cauterisation of lesion of upper gastrointestinal tract
52969004,M373,M37.3 Repair of rupture of bladder
13004001,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
241372008,Y938,Y93.8 Other specified gallium-67 imaging
431316002,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
118863009,Q033,Q03.3 Cone biopsy of cervix uteri NEC
287458009,F201,F20.1 Excision of gingiva
715966005,Y229,Y22.9 Unspecified drainage of organ NOC
38475003,Y309,Y30.9 Unspecified incision of organ NOC
11611000087101,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
433844000,K596,K59.6 Implantation of cardioverter defibrillator using three electrode leads
241607007,Z633,Z63.3 Temporal bone
30195003,A029,A02.9 Unspecified excision of lesion of tissue of brain
79097008,Y207,Y20.7 Vacuum biopsy of lesion of organ NOC
428499005,V558,V55.8 Other specified levels of spine
81092009,H337,H33.7 Perineal resection of rectum HFQ
15774007,E132,E13.2 Excision of lesion of maxillary antrum
118863009,Q011,Q01.1 Amputation of cervix uteri
25316003,C456,C45.6 Destruction of lesion of cornea NEC
708641003,G232,G23.2 Repair of diaphragmatic hernia using thoracic approach NEC
698320000,Y072,Y07.2 Clipping of organ NOC
448188005,Y531,Y53.1 Approach to organ under radiological control
42624001,G538,G53.8 Other specified other open operations on duodenum
169015002,Y971,Y97.1 Radiology with pre and post contrast
426580006,C799,C79.9 Unspecified operations on vitreous body
19744006,J231,J23.1 Excision of lesion of gall bladder
234737009,F172,F17.2 Creation of impression of tooth for dental crown
118823008,J184,J18.4 Partial cholecystectomy and exploration of common bile duct
232157000,D032,D03.2 Reconstruction of external ear NEC
6201000087105,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
119879002,G078,G07.8 Other specified repair of oesophagus
1661000087101,Z941,Z94.1 Bilateral operation
10610003,Y055,Y05.5 Debridement of organ NOC
241341009,Y943,Y94.3 Metaiodobenzylguanidine imaging
20287004,V073,V07.3 Excision of lesion of bone of face
73380001,Y255,Y25.5 Other attention to suture of organ NOC
698979008,Z478,Z47.8 Specified skin of face NEC
286780001,Y519,Y51.9 Unspecified approach to organ through artificial opening into gastrointestinal tract
443477007,K595,K59.5 Removal of cardioverter defibrillator
443916000,Y533,Y53.3 Approach to organ under computed tomography scan control
46895005,A391,A39.1 Repair of meningoencephalocele
46412002,E544,E54.4 Excision of segment of lung
54872009,A384,A38.4 Extirpation of lesion of meninges of parasagittal region of brain
73761001,H221,H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
85472003,T374,T37.4 Repair of mesentery of small intestine
16299004,E252,E25.2 Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC
25353009,Y465,Y46.5 Supratentorial open approach to contents of cranium
236183008,Y188,Y18.8 Other specified release of organ NOC
19744006,J195,J19.5 Revision of anastomosis of gall bladder
449877009,U103,U10.3 Cardiac magnetic resonance imaging
447976005,K614,K61.4 Removal of cardiac pacemaker system NEC
18381000087108,Y973,Y97.3 Radiology with post contrast
175236000,L079,L07.9 Unspecified creation of shunt to pulmonary artery from subclavian artery using interposition tube prosthesis
68188002,H169,H16.9 Unspecified incision of colon
789778002,H218,H21.8 Other specified other therapeutic endoscopic operations on colon
4531000087105,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
172198004,C112,C11.2 Destruction of lesion of canthus
118772009,C241,C24.1 Excision of lacrimal gland
174651007,J452,J45.2 Endoscopic retrograde pancreatography and collection of pancreatic juice
571921000119104,Y944,Y94.4 Diethylenetriamine pentacetic acid imaging
397112000,C452,C45.2 Excision of lesion of cornea NEC
236883005,R281,R28.1 Curettage of delivered uterus
713172009,Q171,Q17.1 Endoscopic resection of lesion of uterus
444812008,K264,K26.4 Replacement of aortic valve NEC
1391000087101,M131,M13.1 Percutaneous needle biopsy of lesion of kidney
88930008,M026,M02.6 Excision of rejected transplanted kidney
699527007,Y049,Y04.9 Unspecified replantation of organ NOC
24677003,M378,M37.8 Other specified other repair of bladder
438348005,Y534,Y53.4 Approach to organ under fluoroscopic control
609249001,E355,E35.5 Endoscopic removal of foreign body from larynx
724088002,Y971,Y97.1 Radiology with pre and post contrast
277520001,Z358,Z35.8 Specified cerebral artery NEC
69685005,K272,K27.2 Xenograft replacement of tricuspid valve
232600009,Z244,Z24.4 Carina
192248003,C292,C29.2 Enlargement of lacrimal punctum
60139001,G453,G45.3 Fibreoptic endoscopic insertion of Bravo pH capsule into upper gastrointestinal tract
241145009,U173,U17.3 Barium swallow
66706000,Y253,Y25.3 Removal of retained suture from organ NOC
195801001,Y202,Y20.2 Stereotactic biopsy of organ NOC
66896000,G053,G05.3 Bypass of oesophagus by interposition of microvascularly attached jejunum
172318005,C311,C31.1 Recession of medial rectus muscle and resection of lateral rectus muscle of eye
21796007,Y408,Y40.8 Other specified dilation of organ NOC
231750006,C743,C74.3 Mechanical lensectomy
78121007,E369,E36.9 Unspecified diagnostic endoscopic examination of larynx
447363009,Y466,Y46.6 Infratentorial open approach to contents of cranium
241519005,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
236216002,Y703,Y70.3 First stage of staged operations NOC
425703002,Z941,Z94.1 Bilateral operation
171790002,A528,A52.8 Other specified therapeutic epidural injection
386556002,D142,D14.2 Tympanoplasty NEC
430833007,C455,C45.5 Radiotherapy to lesion of cornea
1870001,V058,V05.8 Other specified other operations on cranium
443331002,W313,W31.3 Cancellous strip autograft of bone
303673002,Y973,Y97.3 Radiology with post contrast
444083005,M027,M02.7 Excision of transplanted kidney NEC
446693001,Y069,Y06.9 Unspecified excision of lesion of organ NOC
174018004,G808,G80.8 Other specified diagnostic endoscopic examination of ileum
89562006,K719,K71.9 Unspecified other operations on pericardium
14599002,G059,G05.9 Unspecified bypass of oesophagus
265636007,R121,R12.1 Cerclage of cervix of gravid uterus
446362009,H242,H24.2 Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
870570006,Y766,Y76.6 Endonasal endoscopic approach to other body cavity
241547009,U102,U10.2 Cardiac computed tomography angiography
128401003,Y162,Y16.2 Anastomosis of organ NOC
83101004,E292,E29.2 Partial horizontal laryngectomy
175266007,L131,L13.1 Percutaneous transluminal embolectomy of pulmonary artery
397926008,D152,D15.2 Suction clearance of middle ear
429620002,K063,K06.3 Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit
451027000,K353,K35.3 Percutaneous transluminal tricuspid valvotomy
55162003,F102,F10.2 Upper dental clearance
118795000,T149,T14.9 Unspecified other operations on pleura
231748003,C738,C73.8 Other specified incision of capsule of lens
18590009,K617,K61.7 Implantation of biventricular cardiac pacemaker system
232646009,E441,E44.1 Excision of carina
54974006,K601,K60.1 Implantation of intravenous cardiac pacemaker system NEC
9491000087106,Y971,Y97.1 Radiology with pre and post contrast
787213005,X118,X11.8 Other specified amputation of toe
711424006,Y532,Y53.2 Approach to organ under ultrasonic control
231768009,C546,C54.6 Removal of implant or explant from sclera
240282003,R061,R06.1 Selective feticide
44380002,Z272,Z27.2 Stomach
387707007,Y268,Y26.8 Other specified other repair of organ NOC
703698008,Q369,Q36.9 Unspecified other endoscopic occlusion of fallopian tube
447156000,Y473,Y47.3 Transoral burrhole approach to contents of cranium
438888005,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
359596007,G631,G63.1 Open biopsy of lesion of jejunum
24742009,D208,D20.8 Other specified other operations on middle ear
187231000,Y533,Y53.3 Approach to organ under computed tomography scan control
21815000,E503,E50.3 Endoscopic destruction of lesion of lower respiratory tract using rigid bronchoscope NEC
429499003,Y534,Y53.4 Approach to organ under fluoroscopic control
119725003,Y016,Y01.6 Alloreplacement of organ from cadaver NOC
712983009,Y755,Y75.5 Laparoscopic ultrasonic approach to abdominal cavity
169009002,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
235345009,H403,H40.3 Trans-sphincteric destruction of lesion of rectum
278216004,Z062,Z06.2 Thoracic spinal cord
118833000,G518,G51.8 Other specified bypass of duodenum
8777004,H193,H19.3 Enterorrhaphy of colon
367477001,V148,V14.8 Other specified excision of mandible
438529005,J124,J12.4 Percutaneous radiofrequency ablation of lesion of liver
447652004,E301,E30.1 Excision of lesion of larynx using thyrotomy as approach
444758004,Z926,Z92.6 Abdomen NEC
431839003,Z301,Z30.1 Liver
288183004,K602,K60.2 Resiting of lead of intravenous cardiac pacemaker system
21521000087103,Z941,Z94.1 Bilateral operation
50887005,K151,K15.1 Closed enlargement of defect of atrial septum
180329009,X501,X50.1 Direct current cardioversion
443681002,W400,W40.0 Conversion from previous cemented total prosthetic replacement of knee joint
716756004,J128,J12.8 Other specified other therapeutic percutaneous operations on liver
74193008,U203,U20.3 Intravascular echocardiography
440882005,Z357,Z35.7 Artery of circle of Willis
