snomed,opcs,opcs_term
85472003,T374,T37.4 Repair of mesentery of small intestine
250073009,Y252,Y25.2 Resuture of organ NOC
63187005,Q521,Q52.1 Excision of lesion of broad ligament of uterus
238299003,T371,T37.1 Excision of lesion of mesentery of small intestine
73257006,Y031,Y03.1 Maintenance of prosthesis in organ NOC
120174003,T388,T38.8 Other specified operations on mesentery of colon
25187007,T363,T36.3 Destruction of lesion of omentum
87102007,Y066,Y06.6 Vacuum excision of lesion of organ NOC
78233008,Y252,Y25.2 Resuture of organ NOC
387826009,T341,T34.1 Open drainage of subphrenic abscess
32578005,Y205,Y20.5 Percutaneous biopsy NOC
32578005,Y203,Y20.3 Biopsy of lesion of organ NOC
710313004,Y943,Y94.3 Metaiodobenzylguanidine imaging
359902008,T289,T28.9 Unspecified other repair of anterior abdominal wall
225230008,X428,X42.8 Other specified placement of other apparatus for compensation for renal failure
87053005,Q528,Q52.8 Other specified operations on broad ligament of uterus
214173000,Q548,Q54.8 Other specified operations on other ligament of uterus
241479003,Y971,Y97.1 Radiology with pre and post contrast
225230008,X429,X42.9 Unspecified placement of other apparatus for compensation for renal failure
177981006,T391,T39.1 Excision of lesion of posterior peritoneum
359902008,T288,T28.8 Other specified other repair of anterior abdominal wall
241479003,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
120176001,T373,T37.3 Biopsy of lesion of mesentery of small intestine
359981003,Y079,Y07.9 Unspecified obliteration of cavity of organ NOC
68141001,T382,T38.2 Destruction of lesion of mesentery of colon
71192002,X406,X40.6 Continuous ambulatory peritoneal dialysis
710197007,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
6801000,Y059,Y05.9 Unspecified excision of organ NOC
32578005,H031,H03.1 Drainage of abscess of appendix
276189003,Y053,Y05.3 Excision of sinus track from organ NOC
387824007,T348,T34.8 Other specified open drainage of peritoneum
60305009,T374,T37.4 Repair of mesentery of small intestine
238307009,T368,T36.8 Other specified operations on omentum
47045001,Y069,Y06.9 Unspecified excision of lesion of organ NOC
25187007,T362,T36.2 Excision of lesion of omentum
29481005,T431,T43.1 Diagnostic endoscopic examination of peritoneum and biopsy of lesion of peritoneum
359688006,P312,P31.2 Drainage of pouch of Douglas
81561002,Y254,Y25.4 Removal of other suture from organ NOC
25187007,Y222,Y22.2 Aspiration of other lesion of organ NOC
443041005,Y531,Y53.1 Approach to organ under radiological control
39258002,T374,T37.4 Repair of mesentery of small intestine
120174003,T381,T38.1 Excision of lesion of mesentery of colon
55281003,Q548,Q54.8 Other specified operations on other ligament of uterus
238303008,Y055,Y05.5 Debridement of organ NOC
55281003,Y118,Y11.8 Other specified other destruction of organ NOC
76359002,Y221,Y22.1 Aspiration of haematoma of organ NOC
241479003,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
710313004,Y948,Y94.8 Other specified radiopharmaceutical imaging
177940003,T332,T33.2 Open destruction of lesion of peritoneum
71192002,X405,X40.5 Automated peritoneal dialysis
81561002,Y255,Y25.5 Other attention to suture of organ NOC
178005004,Y535,Y53.5 Approach to organ under image intensifier
174036004,H012,H01.2 Emergency excision of abnormal appendix NEC
65542000,Q528,Q52.8 Other specified operations on broad ligament of uterus
710313004,Y941,Y94.1 Dopamine transporter scan
710197007,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
32578005,Y208,Y20.8 Other specified biopsy of organ NOC
230825008,A141,A14.1 Renewal of cerebroventricular shunt
25187007,T368,T36.8 Other specified operations on omentum
120182003,T434,T43.4 Diagnostic endoscopic ultrasound examination of peritoneum and biopsy of intra-abdominal organ
177064004,Q522,Q52.2 Destruction of lesion of broad ligament of uterus
6801000,Y054,Y05.4 Ex vivo resection of organ NOC
120174003,T383,T38.3 Biopsy of lesion of mesentery of colon
66513002,T363,T36.3 Destruction of lesion of omentum
708680006,T461,T46.1 Paracentesis abdominis for ascites
78233008,Y251,Y25.1 Suture of laceration of organ NOC
430104008,T431,T43.1 Diagnostic endoscopic examination of peritoneum and biopsy of lesion of peritoneum
33158004,W761,W76.1 Excision of ligament
120176001,T379,T37.9 Unspecified operations on mesentery of small intestine
71192002,X421,X42.1 Insertion of temporary peritoneal dialysis catheter
35083003,T384,T38.4 Repair of mesentery of colon
87102007,Y063,Y06.3 Enucleation of lesion of organ NOC
42332004,H033,H03.3 Exteriorisation of appendix
713903002,T361,T36.1 Omentectomy
225230008,X411,X41.1 Insertion of ambulatory peritoneal dialysis catheter
1299000,H024,H02.4 Incidental appendicectomy
1299000,H023,H02.3 Prophylactic appendicectomy NEC
39258002,T388,T38.8 Other specified operations on mesentery of colon
241479003,Y973,Y97.3 Radiology with post contrast
59982008,Q548,Q54.8 Other specified operations on other ligament of uterus
32578005,Y209,Y20.9 Unspecified biopsy of organ NOC
361168006,Y259,Y25.9 Unspecified suture of organ NOC
443935000,H012,H01.2 Emergency excision of abnormal appendix NEC
29481005,T432,T43.2 Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intra-abdominal organ NEC
39258002,T382,T38.2 Destruction of lesion of mesentery of colon
87102007,Y053,Y05.3 Excision of sinus track from organ NOC
443037006,H031,H03.1 Drainage of abscess of appendix
120176001,T371,T37.1 Excision of lesion of mesentery of small intestine
56168005,P314,P31.4 Culdotomy NEC
120194007,Y421,Y42.1 External manipulation of organ NOC
428648006,X405,X40.5 Automated peritoneal dialysis
387826009,Y532,Y53.2 Approach to organ under ultrasonic control
710313004,Z534,Z53.4 Peritoneal cavity
64941009,T488,T48.8 Other specified other operations on peritoneum
78233008,Y258,Y25.8 Other specified suture of organ NOC
225230008,X419,X41.9 Unspecified placement of ambulatory apparatus for compensation for renal failure
39258002,T371,T37.1 Excision of lesion of mesentery of small intestine
120184002,T374,T37.4 Repair of mesentery of small intestine
32578005,Y207,Y20.7 Vacuum biopsy of lesion of organ NOC
67976002,P318,P31.8 Other specified operations on pouch of Douglas
276189003,Y054,Y05.4 Ex vivo resection of organ NOC
29481005,T434,T43.4 Diagnostic endoscopic ultrasound examination of peritoneum and biopsy of intra-abdominal organ
85472003,T389,T38.9 Unspecified operations on mesentery of colon
120174003,T378,T37.8 Other specified operations on mesentery of small intestine
3399007,T361,T36.1 Omentectomy
710197007,Z281,Z28.1 Appendix
29481005,T439,T43.9 Unspecified diagnostic endoscopic examination of peritoneum
241479003,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
66513002,Y308,Y30.8 Other specified incision of organ NOC
39258002,T378,T37.8 Other specified operations on mesentery of small intestine
177969007,T373,T37.3 Biopsy of lesion of mesentery of small intestine
6801000,T373,T37.3 Biopsy of lesion of mesentery of small intestine
87102007,Y067,Y06.7 Radiofrequency excision of lesion of organ NOC
17041004,H031,H03.1 Drainage of abscess of appendix
11878008,Y069,Y06.9 Unspecified excision of lesion of organ NOC
32578005,H039,H03.9 Unspecified other operations on appendix
54080001,Q522,Q52.2 Destruction of lesion of broad ligament of uterus
708680006,Y534,Y53.4 Approach to organ under fluoroscopic control
287853009,T413,T41.3 Freeing of adhesions of peritoneum
35083003,T374,T37.4 Repair of mesentery of small intestine
87102007,Y059,Y05.9 Unspecified excision of organ NOC
250073009,Y254,Y25.4 Removal of other suture from organ NOC
1299000,Y051,Y05.1 Total excision of organ NOC
120176001,T389,T38.9 Unspecified operations on mesentery of colon
73257006,X402,X40.2 Peritoneal dialysis NEC
177923007,T292,T29.2 Excision of urachus
25187007,T361,T36.1 Omentectomy
709655003,T468,T46.8 Other specified other drainage of peritoneal cavity
708680006,Y539,Y53.9 Unspecified approach to organ under image control
6801000,T383,T38.3 Biopsy of lesion of mesentery of colon
177941004,T331,T33.1 Open excision of lesion of peritoneum
68141001,T379,T37.9 Unspecified operations on mesentery of small intestine
224316005,Q548,Q54.8 Other specified operations on other ligament of uterus
710197007,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
387824007,T459,T45.9 Unspecified image controlled operations on abdominal cavity
225231007,X419,X41.9 Unspecified placement of ambulatory apparatus for compensation for renal failure
710197007,Y973,Y97.3 Radiology with post contrast
387824007,T453,T45.3 Image controlled percutaneous drainage of abdominal abscess NEC
361168006,Y252,Y25.2 Resuture of organ NOC
87102007,Y052,Y05.2 Partial excision of organ NOC
6801000,Y055,Y05.5 Debridement of organ NOC
120196009,Y428,Y42.8 Other specified manipulation of organ NOC
66513002,T362,T36.2 Excision of lesion of omentum
709655003,Y533,Y53.3 Approach to organ under computed tomography scan control
32578005,H038,H03.8 Other specified other operations on appendix
178005004,T451,T45.1 Image controlled percutaneous drainage of subphrenic abscess
710313004,Y942,Y94.2 Octreotide imaging
32578005,H032,H03.2 Drainage of appendix NEC
120174003,T384,T38.4 Repair of mesentery of colon
68141001,T383,T38.3 Biopsy of lesion of mesentery of colon
81561002,Y259,Y25.9 Unspecified suture of organ NOC
275245003,T411,T41.1 Open biopsy of lesion of peritoneum NEC
29481005,T433,T43.3 Diagnostic endoscopic ultrasound examination of peritoneum
90472003,Q548,Q54.8 Other specified operations on other ligament of uterus
1299000,H028,H02.8 Other specified other excision of appendix
89305009,T468,T46.8 Other specified other drainage of peritoneal cavity
359975006,P318,P31.8 Other specified operations on pouch of Douglas
65542000,Y059,Y05.9 Unspecified excision of organ NOC
25187007,T365,T36.5 Creation of omental flap
6801000,T381,T38.1 Excision of lesion of mesentery of colon
63939001,Q548,Q54.8 Other specified operations on other ligament of uterus
280392009,A124,A12.4 Creation of ventriculoperitoneal shunt
387824007,T451,T45.1 Image controlled percutaneous drainage of subphrenic abscess
29481005,T438,T43.8 Other specified diagnostic endoscopic examination of peritoneum
387824007,T349,T34.9 Unspecified open drainage of peritoneum
178005004,Y539,Y53.9 Unspecified approach to organ under image control
177993002,T421,T42.1 Endoscopic resection of lesion of peritoneum
53829005,P313,P31.3 Aspiration of pouch of Douglas
430104008,Y204,Y20.4 Fine needle aspiration NOC
58277002,P317,P31.7 Extirpation of lesion of pouch of Douglas
2199005,P317,P31.7 Extirpation of lesion of pouch of Douglas
120174003,T382,T38.2 Destruction of lesion of mesentery of colon
41457005,T308,T30.8 Other specified opening of abdomen
225230008,X418,X41.8 Other specified placement of ambulatory apparatus for compensation for renal failure
41457005,T309,T30.9 Unspecified opening of abdomen
120182003,T439,T43.9 Unspecified diagnostic endoscopic examination of peritoneum
34538004,Q548,Q54.8 Other specified operations on other ligament of uterus
14684005,X402,X40.2 Peritoneal dialysis NEC
80146002,H022,H02.2 Planned delayed appendicectomy NEC
54080001,Q528,Q52.8 Other specified operations on broad ligament of uterus
32578005,Y201,Y20.1 Stereotactic biopsy of lesion of organ NOC
