,snomed,icd9,icd_term
788,31222007,12.91,Therapeutic evacuation of anterior chamber
869,66960000,11.51,Suture of corneal laceration
875,75318004,12.81,Suture of laceration of sclera
975,43582002,14.73,Mechanical vitrectomy by anterior approach
980,29747000,16.31,Removal of ocular contents with synchronous implant into scleral shell
1006,40395007,12.21,Diagnostic aspiration of anterior chamber of eye
1054,297840009,14.71,"Removal of vitreous, anterior approach"
1063,53524009,16.21,Ophthalmoscopy
1096,19731001,95.13,Ultrasound study of eye
1192,58388006,10.6,Repair of laceration of conjunctiva
1245,77950003,14.52,Repair of retinal detachment with cryotherapy
1256,1746005,14.41,Scleral buckling with implant
1262,10807008,12.87,Scleral reinforcement with graft
1324,49999004,96.51,Irrigation of eye
1330,108143005,11.49,Excision of cornea NOS
1341,35137007,12.73,Cyclophotocoagulation
1343,60656008,11.6,"Corneal transplant, not otherwise specified"
1382,223217009,10.0,Removal of embedded foreign body from conjunctiva by incision
1386,303636000,10.21,Biopsy of conjunctiva
1408,91552000,12.66,Postoperative revision of scleral fistulization procedure
1436,39029006,95.25,Electromyogram of eye [EMG]
1448,20067007,95.11,Fundus photography
1461,4581005,12.35,Coreoplasty
1465,62935003,11.1,Incision of cornea
1523,33481008,13.66,Mechanical fragmentation of secondary membrane [after cataract]
1527,44716001,11.22,Biopsy of cornea
1542,11819005,88.82,Ocular thermography
1543,164729009,89.11,Tonometry
1570,73689008,12.41,"Destruction of lesion of iris, nonexcisional"
1587,44703001,12.54,Trabeculotomy ab externo
1600,67991000,13.2,Extracapsular extraction of lens by linear extraction technique
1616,15912005,10.32,Destruction of lesion of conjunctiva
1630,37741003,12.4,"Removal of lesion of anterior segment of eye, not otherwise specified"
1631,40485001,11.32,Excision of pterygium with corneal graft
1636,47487006,12.42,Excision of lesion of iris
1653,66359001,13.11,Intracapsular extraction of lens by temporal inferior route
1678,25302008,12.22,Biopsy of iris
1690,39195006,11.74,Thermokeratoplasty
1704,59465003,11.43,Cryotherapy of corneal lesion
1708,70202005,12.85,Repair of scleral staphyloma with graft
1723,84072001,11.31,Transposition of pterygium
1730,88812000,12.44,Excision of lesion of ciliary body
