snomed,opcs,opcs_term
172286002,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
13004001,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
81092009,H337,H33.7 Perineal resection of rectum HFQ
395096001,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
73761001,H221,H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
789778002,H218,H21.8 Other specified other therapeutic endoscopic operations on colon
228689006,X656,X65.6 Delivery of a fraction of intraluminal brachytherapy
446362009,H242,H24.2 Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
169009002,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
446747005,H266,H26.6 Endoscopic submucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
169309008,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
169318005,X692,X69.2 Delivery of a fraction of total skin radiotherapy
115960007,X692,X69.2 Delivery of a fraction of total skin radiotherapy
47479005,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
307655001,H135,H13.5 Bypass of colon by anastomosis of colon to rectum NEC
450481004,G036,G03.6 Partial oesophagectomy and interposition of colon NEC
228676000,Y918,Y91.8 Other specified external beam radiotherapy
52667004,H108,H10.8 Other specified excision of sigmoid colon
12827003,H411,H41.1 Rectosigmoidectomy and peranal anastomosis
73174000,Y066,Y06.6 Vacuum excision of lesion of organ NOC
307658004,H152,H15.2 End colostomy
285786003,H482,H48.2 Excision of skin tag of anus
172286002,X659,X65.9 Unspecified radiotherapy delivery
73174000,Y061,Y06.1 Marsupialisation of organ NOC
447979003,H232,H23.2 Endoscopic cauterisation of lesion of lower bowel using fibreoptic sigmoidoscope
418294002,U215,U21.5 Contrast fluoroscopy NEC
396226005,H251,H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope
359944002,Z292,Z29.2 Anus
169353003,Z534,Z53.4 Peritoneal cavity
44378008,H091,H09.1 Left hemicolectomy and end to end anastomosis of colon to rectum
445232009,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
