,snomed,icd9,icd_term
788,31222007,12.91,Therapeutic evacuation of anterior chamber
869,66960000,11.51,Suture of corneal laceration
870,64522003,14.27,Destruction of chorioretinal lesion by implantation of radiation source
875,75318004,12.81,Suture of laceration of sclera
919,85231002,14.54,Repair of retinal detachment with laser photocoagulation
943,59590004,16.41,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles
975,43582002,14.73,Mechanical vitrectomy by anterior approach
980,29747000,16.31,Removal of ocular contents with synchronous implant into scleral shell
1006,40395007,12.21,Diagnostic aspiration of anterior chamber of eye
1054,297840009,14.71,"Removal of vitreous, anterior approach"
1063,53524009,16.21,Ophthalmoscopy
1096,19731001,95.13,Ultrasound study of eye
1123,49257005,14.24,Destruction of chorioretinal lesion by laser photocoagulation
1183,30880003,12.64,Trabeculectomy ab externo
1192,58388006,10.6,Repair of laceration of conjunctiva
1245,77950003,14.52,Repair of retinal detachment with cryotherapy
1256,1746005,14.41,Scleral buckling with implant
1262,10807008,12.87,Scleral reinforcement with graft
1282,44329003,12.13,Excision of prolapsed iris
1316,82948008,14.21,Destruction of chorioretinal lesion by diathermy
1324,49999004,96.51,Irrigation of eye
1330,108143005,11.49,Excision of cornea NOS
1341,35137007,12.73,Cyclophotocoagulation
1343,60656008,11.6,"Corneal transplant, not otherwise specified"
1382,223217009,10.0,Removal of embedded foreign body from conjunctiva by incision
1386,303636000,10.21,Biopsy of conjunctiva
1408,91552000,12.66,Postoperative revision of scleral fistulization procedure
1436,39029006,95.25,Electromyogram of eye [EMG]
1448,20067007,95.11,Fundus photography
1455,37002005,14.22,Destruction of chorioretinal lesion by cryotherapy
1461,4581005,12.35,Coreoplasty
1465,62935003,11.1,Incision of cornea
1471,78917001,14.55,Repair of retinal detachment with photocoagulation of unspecified type
1523,33481008,13.66,Mechanical fragmentation of secondary membrane [after cataract]
1527,44716001,11.22,Biopsy of cornea
1540,85257004,14.26,Destruction of chorioretinal lesion by radiation therapy
1542,11819005,88.82,Ocular thermography
1543,164729009,89.11,Tonometry
1568,70969005,11.63,Penetrating keratoplasty with autograft
1570,73689008,12.41,"Destruction of lesion of iris, nonexcisional"
1587,44703001,12.54,Trabeculotomy ab externo
1600,67991000,13.2,Extracapsular extraction of lens by linear extraction technique
1616,15912005,10.32,Destruction of lesion of conjunctiva
1630,37741003,12.4,"Removal of lesion of anterior segment of eye, not otherwise specified"
1631,40485001,11.32,Excision of pterygium with corneal graft
1636,47487006,12.42,Excision of lesion of iris
1653,66359001,13.11,Intracapsular extraction of lens by temporal inferior route
1678,25302008,12.22,Biopsy of iris
1687,29664009,12.61,Trephination of sclera with iridectomy
1690,39195006,11.74,Thermokeratoplasty
1691,397989004,9.82,Conjunctivocystorhinostomy
1693,41681008,14.23,Destruction of chorioretinal lesion by xenon arc photocoagulation
1704,59465003,11.43,Cryotherapy of corneal lesion
1708,70202005,12.85,Repair of scleral staphyloma with graft
1723,84072001,11.31,Transposition of pterygium
1728,881009,12.55,Cyclodialysis
1730,88812000,12.44,Excision of lesion of ciliary body
