snomed,opcs,opcs_term
172286002,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
395096001,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
46412002,E544,E54.4 Excision of segment of lung
232646009,E441,E44.1 Excision of carina
432652008,E495,"E49.5 Diagnostic fibreoptic endoscopic examination of lower respiratory tract with biopsy, lavage and brush cytology of lesion of lower respiratory tract"
169309008,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
169318005,X692,X69.2 Delivery of a fraction of total skin radiotherapy
115960007,X692,X69.2 Delivery of a fraction of total skin radiotherapy
47479005,Y912,Y91.2 Megavoltage treatment for simple radiotherapy
228676000,Y918,Y91.8 Other specified external beam radiotherapy
169003001,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
609171001,Y533,Y53.3 Approach to organ under computed tomography scan control
172286002,X659,X65.9 Unspecified radiotherapy delivery
442303003,E578,E57.8 Other specified other open operations on lung
173178001,E552,E55.2 Open excision of lesion of lung
445232009,X654,X65.4 Delivery of a fraction of external beam radiotherapy NEC
287465001,Y537,Y53.7 Approach to organ under magnetic resonance imaging control
429774000,X657,X65.7 Delivery of radionuclide therapy NEC
428412000,X652,X65.2 Delivery of a fraction of intracavitary radiotherapy
428923005,X656,X65.6 Delivery of a fraction of intraluminal brachytherapy
230911008,Y134,Y13.4 Radiofrequency controlled thermal destruction of lesion of organ NOC
450608000,E502,E50.2 Endoscopic laser destruction of lesion of lower respiratory tract using rigid bronchoscope
720379009,Z376,Z37.6 Hepatic artery
720379009,X723,X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance
241293008,Y938,Y93.8 Other specified gallium-67 imaging
12149006,Y823,Y82.3 Application of local anaesthetic NEC
169021003,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
31652009,X728,X72.8 Other specified delivery of chemotherapy for neoplasm
428829005,X657,X65.7 Delivery of radionuclide therapy NEC
50632006,X651,X65.1 Delivery of a fraction of total body irradiation
241540006,Y973,Y97.3 Radiology with post contrast
169292008,X692,X69.2 Delivery of a fraction of total skin radiotherapy
169115000,U215,U21.5 Contrast fluoroscopy NEC
57113004,Y931,Y93.1 Gallium-67 imaging scan
