snomed,opcs,opcs_term
788709002,Y532,Y53.2 Approach to organ under ultrasonic control
711484009,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
429862006,Y973,Y97.3 Radiology with post contrast
432768005,Z755,Z75.5 Ramus of pubis
773131009,Z719,Z71.9 Ulna NEC
443062006,W209,W20.9 Unspecified primary open reduction of fracture of bone and extramedullary fixation
446714001,M182,M18.2 Excision of segment of ureter
429617005,V552,V55.2 Two levels of spine
310832007,Y263,Y26.3 Stapling of organ NOC
287251000,A627,A62.7 Microsurgical repair of multiple peripheral nerves NEC
418982001,K754,K75.4 Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC
284023006,Z563,Z56.3 Flexor digitorum superficialis
241372008,Y938,Y93.8 Other specified gallium-67 imaging
431316002,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
287458009,F201,F20.1 Excision of gingiva
11611000087101,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
276223009,S013,S01.3 Submental lipectomy
241607007,Z633,Z63.3 Temporal bone
428499005,V558,V55.8 Other specified levels of spine
708641003,G232,G23.2 Repair of diaphragmatic hernia using thoracic approach NEC
418551006,K418,K41.8 Other specified other autograft replacement of coronary artery
312641007,Z388,Z38.8 Specified terminal branch of aorta NEC
724089005,Y971,Y97.1 Radiology with pre and post contrast
448188005,Y531,Y53.1 Approach to organ under radiological control
426580006,C799,C79.9 Unspecified operations on vitreous body
239543007,V559,V55.9 Unspecified levels of spine
274069003,S061,S06.1 Marsupialisation of lesion of skin of head or neck
234737009,F172,F17.2 Creation of impression of tooth for dental crown
265545001,L874,L87.4 Avulsion of varicose vein of leg
15391000087101,Y971,Y97.1 Radiology with pre and post contrast
232157000,D032,D03.2 Reconstruction of external ear NEC
6201000087105,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
1661000087101,Z941,Z94.1 Bilateral operation
609193006,M728,M72.8 Other specified excision of urethra
241341009,Y943,Y94.3 Metaiodobenzylguanidine imaging
428603007,Y982,Y98.2 Radiology of two body areas
698979008,Z478,Z47.8 Specified skin of face NEC
443916000,Y533,Y53.3 Approach to organ under computed tomography scan control
764728005,Z986,Z98.6 Short saphenous vein
303437003,T771,T77.1 Excision of whole muscle group
252903003,Y442,Y44.2 Monitoring of pressure in organ NOC
419946000,Z388,Z38.8 Specified terminal branch of aorta NEC
442971005,W134,W13.4 Relocation and derotation osteotomy
236183008,Y188,Y18.8 Other specified release of organ NOC
450782005,V552,V55.2 Two levels of spine
449877009,U103,U10.3 Cardiac magnetic resonance imaging
447976005,K614,K61.4 Removal of cardiac pacemaker system NEC
18381000087108,Y973,Y97.3 Radiology with post contrast
431763003,V558,V55.8 Other specified levels of spine
359593004,W642,W64.2 Conversion to arthrodesis and external fixation NEC
4531000087105,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
241653000,Z843,Z84.3 Hip joint
401226007,V553,V55.3 Greater than two levels of spine
442931000,W082,W08.2 Excision of overgrowth of bone
571921000119104,Y944,Y94.4 Diethylenetriamine pentacetic acid imaging
239525008,Z866,Z86.6 Interphalangeal joint of toe
397112000,C452,C45.2 Excision of lesion of cornea NEC
713172009,Q171,Q17.1 Endoscopic resection of lesion of uterus
444812008,K264,K26.4 Replacement of aortic valve NEC
1391000087101,M131,M13.1 Percutaneous needle biopsy of lesion of kidney
608793007,Y751,Y75.1 Laparoscopically assisted approach to abdominal cavity
438348005,Y534,Y53.4 Approach to organ under fluoroscopic control
724088002,Y971,Y97.1 Radiology with pre and post contrast
277520001,Z358,Z35.8 Specified cerebral artery NEC
439988004,O174,O17.4 Remanipulation of fracture of small bone and fixation using screw
405374004,Z388,Z38.8 Specified terminal branch of aorta NEC
232600009,Z244,Z24.4 Carina
699166007,W215,W21.5 Primary extra-articular reduction of intra-articular fracture of bone
447795007,Y068,Y06.8 Other specified excision of lesion of organ NOC
609258008,T232,T23.2 Repair of recurrent femoral hernia using insert of prosthetic material
231750006,C743,C74.3 Mechanical lensectomy
447363009,Y466,Y46.6 Infratentorial open approach to contents of cranium
239422009,W602,W60.2 Revision of arthrodesis and extra-articular bone graft NEC
708922003,Z775,Z77.5 Lower end of tibia NEC
241519005,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
236216002,Y703,Y70.3 First stage of staged operations NOC
425703002,Z941,Z94.1 Bilateral operation
448853008,W309,W30.9 Unspecified other external fixation of bone
448874009,W204,W20.4 Primary open reduction of fracture of long bone and complex extramedullary fixation NEC
443331002,W313,W31.3 Cancellous strip autograft of bone
444083005,M027,M02.7 Excision of transplanted kidney NEC
446693001,Y069,Y06.9 Unspecified excision of lesion of organ NOC
384521000119100,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
